pdb_id,deposit_date,release_date_rcsb,revision_date,release_date,date_matches_repo
7RTR,2021-08-14,2021-10-13,2024-10-16,2021-10-13,True
6ZKW,2020-06-30,2022-01-26,2024-11-06,2022-01-26,True
6ZKX,2020-06-30,2022-01-26,2024-11-20,2022-01-26,True
6ZKY,2020-06-30,2022-01-26,2024-01-31,2022-01-26,True
6ZKZ,2020-06-30,2022-01-26,2024-02-07,2022-01-26,True
7DZM,2021-01-25,2022-01-26,2024-11-20,2022-01-26,True
7DZN,2021-01-25,2022-01-26,2024-11-20,2022-01-26,True
7NDQ,2021-02-02,2022-01-26,2024-11-13,2022-01-26,True
7NDT,2021-02-02,2022-01-26,2024-01-31,2022-01-26,True
7NDU,2021-02-02,2022-01-26,2024-01-31,2022-01-26,True
7RM4,2021-07-26,2022-02-09,2024-10-16,2022-02-09,True
7SG0,2021-10-04,2022-02-23,2024-11-13,2022-02-23,True
7SG1,2021-10-04,2022-02-23,2024-10-23,2022-02-23,True
7SG2,2021-10-04,2022-02-23,2024-10-30,2022-02-23,True
7L1D,2020-12-14,2022-03-23,2024-10-16,2022-03-23,True
7RRG,2021-08-09,2022-03-23,2024-10-23,2022-03-23,True
7PBE,2021-08-02,2022-04-27,2024-11-20,2022-04-27,True
7SU9,2021-11-16,2022-06-08,2024-10-23,2022-06-08,True
7NA5,2021-06-19,2022-06-22,2024-10-09,2022-06-22,True
7R80,2021-06-25,2022-06-29,2024-10-23,2022-06-29,True
7N4K,2021-06-04,2022-07-20,2024-10-23,2022-07-20,True
7N5C,2021-06-05,2022-07-20,2024-10-30,2022-07-20,True
7N5P,2021-06-06,2022-07-20,2024-10-23,2022-07-20,True
7OW5,2021-06-16,2022-07-20,2024-11-20,2022-07-20,True
7OW6,2021-06-16,2022-07-20,2024-11-20,2022-07-20,True
7PB2,2021-07-30,2022-07-20,2024-10-23,2022-07-20,True
7Z50,2022-03-06,2022-07-20,2024-10-16,2022-07-20,True
7RDV,2021-07-11,2022-07-27,2024-11-06,2022-07-27,True
7PBC,2021-08-02,2022-08-03,2024-10-09,2022-08-03,True
7PDW,2021-08-09,2022-08-03,2024-10-23,2022-08-03,True
7QPJ,2022-01-04,2022-08-03,2024-11-06,2022-08-03,True
7PHR,2021-08-18,2022-08-31,2025-07-02,2022-08-31,True
7NME,2021-02-23,2022-09-07,2024-11-13,2022-09-07,True
7NMF,2021-02-23,2022-09-07,2024-10-23,2022-09-07,True
7NMG,2021-02-23,2022-09-07,2024-11-06,2022-09-07,True
8D5Q,2022-06-05,2022-09-14,2024-11-13,2022-09-14,True
8GVB,2022-09-14,2022-10-19,2024-10-30,2022-10-19,True
8GVG,2022-09-15,2022-10-19,2024-11-20,2022-10-19,True
8GVI,2022-09-15,2022-10-19,2024-10-23,2022-10-19,True
7RK7,2021-07-22,2022-11-02,2025-10-08,2022-11-02,True
7N2N,2021-05-29,2022-12-07,2024-10-23,2022-12-07,True
7N2O,2021-05-29,2022-12-07,2024-11-06,2022-12-07,True
7N2P,2021-05-29,2022-12-07,2024-10-23,2022-12-07,True
7N2Q,2021-05-29,2022-12-07,2024-11-20,2022-12-07,True
7N2R,2021-05-29,2022-12-07,2024-11-13,2022-12-07,True
7N2S,2021-05-29,2022-12-07,2024-11-13,2022-12-07,True
8CX4,2022-05-19,2022-12-07,2024-11-06,2022-12-07,True
7T2B,2021-12-03,2022-12-28,2024-11-13,2022-12-28,True
7T2C,2021-12-03,2022-12-28,2024-10-23,2022-12-28,True
7T2D,2021-12-03,2022-12-28,2024-11-13,2022-12-28,True
7Q99,2021-11-12,2023-02-22,2024-11-20,2023-02-22,True
7Q9A,2021-11-12,2023-02-22,2024-11-13,2023-02-22,True
7Q9B,2021-11-12,2023-02-22,2024-11-20,2023-02-22,True
8GOM,2022-08-25,2023-03-01,2024-10-30,2023-03-01,True
8GON,2022-08-25,2023-03-01,2024-11-13,2023-03-01,True
8ES8,2022-10-13,2023-05-03,2024-11-20,2023-05-03,True
8ES9,2022-10-13,2023-05-03,2024-10-30,2023-05-03,True
8SHI,2023-04-14,2023-06-28,2023-07-26,2023-06-28,True
8DNT,2022-07-11,2023-07-19,2024-10-30,2023-07-19,True
8I5C,2023-01-24,2023-08-23,2024-10-16,2023-08-23,True
8I5D,2023-01-25,2023-08-23,2024-10-16,2023-08-23,True
8EN8,2022-09-29,2024-03-27,2026-03-04,2024-03-27,True
8ENH,2022-09-30,2024-03-27,2026-03-04,2024-03-27,True
8EO8,2022-10-02,2024-03-27,2026-03-04,2024-03-27,True
8WTE,2023-10-18,2024-05-01,2024-10-09,2024-05-01,True
8WUL,2023-10-20,2024-05-01,2024-10-16,2024-05-01,True
8QFY,2023-09-05,2024-05-15,2026-03-04,2024-05-15,True
8F5A,2022-11-12,2024-05-22,2026-03-04,2024-05-22,True
8PJG,2023-06-23,2024-06-19,2024-10-16,2024-06-19,True
8VCX,2023-12-14,2024-08-07,2024-10-16,2024-08-07,True
8VCY,2023-12-14,2024-08-07,2024-11-13,2024-08-07,True
8VD2,2023-12-14,2024-08-07,2024-10-09,2024-08-07,True
8YE4,2024-02-21,2024-08-21,2024-10-23,2024-08-21,True
8RYM,2024-02-09,2024-09-04,2025-02-12,2024-09-04,True
8RYN,2024-02-09,2024-09-04,2025-02-12,2024-09-04,True
8RYO,2024-02-09,2024-09-04,2025-02-12,2024-09-04,True
8RYP,2024-02-09,2024-09-04,2025-02-12,2024-09-04,True
8RYQ,2024-02-09,2024-09-04,2025-02-12,2024-09-04,True
8RLT,2024-01-03,2024-10-16,2025-02-12,2024-10-16,True
8RLU,2024-01-03,2024-10-16,2025-02-12,2024-10-16,True
8RLV,2024-01-03,2024-10-16,2025-02-12,2024-10-16,True
8RRO,2024-01-23,2024-11-20,2024-11-27,2024-11-20,True
8YIV,2024-02-29,2024-12-04,2024-12-04,2024-12-04,True
8YJ2,2024-02-29,2024-12-04,2024-12-04,2024-12-04,True
8V4Z,2023-11-29,2024-12-18,2025-02-26,2024-12-18,True
8V50,2023-11-30,2024-12-18,2025-02-26,2024-12-18,True
8V51,2023-11-30,2024-12-18,2025-02-26,2024-12-18,True
8RJ5,2023-12-20,2025-01-01,2026-07-15,2025-01-01,True
9EJG,2024-11-27,2025-03-26,2025-05-21,2025-03-26,True
9EJH,2024-11-27,2025-03-26,2025-05-21,2025-03-26,True
9EJI,2024-11-27,2025-03-26,2025-05-21,2025-03-26,True
9GV6,2024-09-23,2025-04-23,2025-04-30,2025-04-23,True
9GV7,2024-09-23,2025-04-23,2025-04-30,2025-04-23,True
9IKY,2024-06-29,2025-06-18,2025-09-03,2025-06-18,True
9HLJ,2024-12-05,2025-08-06,2025-09-10,2025-08-06,True
9J4T,2024-08-10,2025-08-13,2026-01-07,2025-08-13,True
9J4U,2024-08-10,2025-08-13,2026-01-07,2025-08-13,True
9RU5,2025-07-03,2025-08-13,2025-08-13,2025-08-13,True
9RUP,2025-07-04,2025-08-13,2025-08-13,2025-08-13,True
9RXM,2025-07-11,2025-08-13,2025-08-13,2025-08-13,True
9D95,2024-08-21,2025-09-03,2026-07-29,2025-09-03,True
9K2R,2024-10-18,2025-09-17,2025-09-17,2025-09-17,True
9K2I,2024-10-17,2025-10-22,2026-06-17,2025-10-22,True
9WBD,2025-08-13,2025-11-19,2026-01-07,2025-11-19,True
9NDS,2025-02-18,2026-01-14,2026-01-14,2026-01-14,True
9NMU,2025-03-04,2026-03-18,2026-04-29,2026-03-18,True
9NMV,2025-03-04,2026-03-18,2026-04-29,2026-03-18,True
9NMW,2025-03-04,2026-03-18,2026-04-29,2026-03-18,True
9NMX,2025-03-04,2026-03-18,2026-04-29,2026-03-18,True
9NMY,2025-03-04,2026-03-18,2026-04-29,2026-03-18,True
9PBG,2025-06-26,2026-03-18,2026-06-10,2026-03-18,True
9PBH,2025-06-26,2026-03-18,2026-06-10,2026-03-18,True
9YW4,2025-10-23,2026-06-17,2026-08-05,2026-06-17,True
9ZCL,2025-11-23,2026-06-17,2026-08-05,2026-06-17,True
24ST,2026-03-19,2026-07-01,2026-07-01,2026-07-01,True
28IL,2026-02-02,2026-07-15,2026-07-15,2026-07-15,True
9WC2,2025-08-15,2026-07-15,2026-07-15,2026-07-15,True
9WC3,2025-08-15,2026-07-15,2026-07-15,2026-07-15,True
9LLU,2025-01-17,2026-07-22,2026-07-22,2026-07-22,True
43RH,2026-07-14,2026-07-29,2026-07-29,2026-07-29,True
9NU7,2025-03-19,2026-07-29,2026-07-29,2026-07-29,True
9NV2,2025-03-20,2026-07-29,2026-07-29,2026-07-29,True
9NV6,2025-03-20,2026-07-29,2026-07-29,2026-07-29,True
9NVA,2025-03-20,2026-07-29,2026-07-29,2026-07-29,True
9NVE,2025-03-20,2026-07-29,2026-07-29,2026-07-29,True
9NW2,2025-03-21,2026-07-29,2026-07-29,2026-07-29,True
