model,measure,col,n,rho,p,lo,hi
AF3,concatenated TCR Vα+Vβ identity,max_tcr_concat,126,0.1212374094299501,0.17627371465315866,-0.048610404571436165,0.2823552779863296
AF3,TCRα identity,max_tcra,126,0.10431229524211548,0.24507003810283154,-0.06898206178193277,0.2762896028705757
AF3,TCRβ identity,max_tcrb,126,0.2934875400623753,0.0008520106285236779,0.13470515260929491,0.44320001482684035
AF3,peptide identity (closest complex),pep_id,126,0.04015993290708769,0.6552493883531689,-0.13764812630737927,0.21488503127270728
AF3,MHC identity,best_mhc_id,126,0.047020812291386105,0.601088102228154,-0.12392567019422916,0.21753535955051806
AF3,"mean identity, closest complex",closest_mean_id,126,0.13054733966662893,0.1451083742080182,-0.0451894051282149,0.301611068731053
AF3,worst chain vs best all-chain match,rule3_min_id,43,0.12917451791951062,0.4090532943555526,-0.19440365299451468,0.44540859131183974
AF3,multimer TM-score,tm_full,126,0.3781117360329959,1.2701787314798655e-05,0.21324747761839735,0.5270168985009783
Protenix,concatenated TCR Vα+Vβ identity,max_tcr_concat,126,0.09590484642792944,0.2854010247543064,-0.0789711178202119,0.2660147289935944
Protenix,TCRα identity,max_tcra,126,0.028327399585428615,0.7528615192568173,-0.1522000957301301,0.20935648045652183
Protenix,TCRβ identity,max_tcrb,126,0.2989412921115053,0.0006732058564799142,0.13731109537111139,0.44426980218432055
Protenix,peptide identity (closest complex),pep_id,126,0.20217081690255567,0.023192952889464533,0.027038380070070468,0.3637451228559581
Protenix,MHC identity,best_mhc_id,126,0.12057427162579895,0.17866844164237222,-0.0385167618372639,0.280525119605682
Protenix,"mean identity, closest complex",closest_mean_id,126,0.2625885687873809,0.0029733103229629136,0.09001613771850922,0.42152866348077317
Protenix,worst chain vs best all-chain match,rule3_min_id,43,0.2391184284856422,0.1225158940003735,-0.08981076002230369,0.5309124284732601
Protenix,multimer TM-score,tm_full,126,0.49504311961004877,3.801565084073466e-09,0.33543889246904035,0.623648316018087
ESMFold2,concatenated TCR Vα+Vβ identity,max_tcr_concat,126,0.314517869711216,0.0003348431816311995,0.15503974763527945,0.45593329236962293
ESMFold2,TCRα identity,max_tcra,126,0.16596492452428796,0.06327027844959322,-0.006455121676234777,0.32703104404937433
ESMFold2,TCRβ identity,max_tcrb,126,0.31406862904420396,0.0003418405256837237,0.15874886043490308,0.4554405462817308
ESMFold2,peptide identity (closest complex),pep_id,126,0.11417560426371727,0.2030136145728571,-0.061721698121249585,0.279391210434586
ESMFold2,MHC identity,best_mhc_id,126,0.12956468256788722,0.14818621794968184,-0.03820978016337583,0.29049853906265605
ESMFold2,"mean identity, closest complex",closest_mean_id,126,0.3197752556063692,0.0002622250589664983,0.14224276914732942,0.4749465722713158
ESMFold2,worst chain vs best all-chain match,rule3_min_id,43,0.3484494113273633,0.022027455043310176,0.0010722008589870984,0.6265779405323699
ESMFold2,multimer TM-score,tm_full,126,0.4479276966121649,1.4467760540257649e-07,0.28733840822114187,0.5838576685615076
TCRmodel2,concatenated TCR Vα+Vβ identity,max_tcr_concat,111,0.21558151220865956,0.02306412734500554,0.02938995655580844,0.3855749441319189
TCRmodel2,TCRα identity,max_tcra,111,0.2094141773026703,0.027393862854652423,0.011993479186056484,0.3944105631648574
TCRmodel2,TCRβ identity,max_tcrb,111,0.37182096192248687,5.8675706628491245e-05,0.20538729965382305,0.5182057373552663
TCRmodel2,peptide identity (closest complex),pep_id,111,0.16585528163923746,0.08191460077839925,-0.008422004452718197,0.33140160843120525
TCRmodel2,MHC identity,best_mhc_id,111,0.17447935237354584,0.0670228720897825,-0.004790958710425974,0.3485468402155075
TCRmodel2,"mean identity, closest complex",closest_mean_id,111,0.34360156910811185,0.00022235768394569566,0.16675249133166936,0.5072941155341241
TCRmodel2,worst chain vs best all-chain match,rule3_min_id,34,0.14118892884519724,0.425756612897748,-0.17010898321822826,0.4487754811513562
TCRmodel2,multimer TM-score,tm_full,111,0.5493418743418743,4.280114357696245e-10,0.3973151878994904,0.6739862627681569
