target,ref,tcr_concat,tcr_concat_cov
7RTR,1AO7,59.44700460829493,0.9680365296803652
7RTR,1BD2,40.55299539170507,0.9724770642201835
7RTR,1FO0,31.336405529953918,0.9459459459459459
7RTR,1G6R,34.41860465116279,0.9769585253456221
7RTR,1KJ2,39.1705069124424,0.9594594594594594
7RTR,1LP9,37.327188940092164,0.9680365296803652
7RTR,1MI5,51.1520737327189,0.9592760180995475
7RTR,1MWA,34.41860465116279,0.9769585253456221
7RTR,1NAM,31.336405529953918,0.9461883408071748
7RTR,1OGA,39.523809523809526,0.9493087557603687
7RTR,1QRN,59.44700460829493,0.9680365296803652
7RTR,1QSE,59.44700460829493,0.9680365296803652
7RTR,1QSF,59.44700460829493,0.9680365296803652
7RTR,2AK4,37.327188940092164,0.9502262443438914
7RTR,2BNQ,34.56221198156682,0.9636363636363636
7RTR,2BNR,34.56221198156682,0.9636363636363636
7RTR,2CKB,34.41860465116279,0.9769585253456221
7RTR,2E7L,34.41860465116279,0.9769585253456221
7RTR,2ESV,39.81481481481482,0.9631336405529954
7RTR,2F53,34.10138248847926,0.9636363636363636
7RTR,2F54,34.10138248847926,0.9636363636363636
7RTR,2GJ6,59.44700460829493,0.9680365296803652
7RTR,2J8U,37.327188940092164,0.9680365296803652
7RTR,2JCC,37.327188940092164,0.9680365296803652
7RTR,2NX5,35.02304147465438,0.9723502304147466
7RTR,2OI9,34.41860465116279,0.9769585253456221
7RTR,2OL3,31.336405529953918,0.9461883408071748
7RTR,2P5E,35.483870967741936,0.9636363636363636
7RTR,2P5W,35.02304147465438,0.9636363636363636
7RTR,2PYE,35.483870967741936,0.9636363636363636
7RTR,2UWE,37.327188940092164,0.9680365296803652
7RTR,2VLJ,39.523809523809526,0.9493087557603687
7RTR,2VLK,39.523809523809526,0.9493087557603687
7RTR,2VLR,39.523809523809526,0.9493087557603687
7RTR,2YPL,41.78403755868545,0.9723502304147466
7RTR,3D39,59.44700460829493,0.9680365296803652
7RTR,3D3V,59.44700460829493,0.9680365296803652
7RTR,3DXA,59.90783410138249,0.9631336405529954
7RTR,3E2H,34.41860465116279,0.9769585253456221
7RTR,3E3Q,34.41860465116279,0.9769585253456221
7RTR,3FFC,47.465437788018434,0.9377777777777778
7RTR,3GSN,35.944700460829495,0.9769585253456221
7RTR,3H9S,59.44700460829493,0.9680365296803652
7RTR,3HG1,61.111111111111114,0.9723502304147466
7RTR,3KPR,51.1520737327189,0.9592760180995475
7RTR,3KPS,51.1520737327189,0.9592760180995475
7RTR,3KXF,37.327188940092164,0.9502262443438914
7RTR,3MV7,44.339622641509436,0.9493087557603687
7RTR,3MV8,44.339622641509436,0.9493087557603687
7RTR,3MV9,44.339622641509436,0.9493087557603687
7RTR,3O4L,35.348837209302324,0.967741935483871
7RTR,3PQY,30.046948356807512,0.967741935483871
7RTR,3PWP,59.44700460829493,0.9680365296803652
7RTR,3QDG,62.325581395348834,0.9769585253456221
7RTR,3QDJ,62.325581395348834,0.9769585253456221
7RTR,3QDM,35.07109004739336,0.9447004608294931
7RTR,3QEQ,35.07109004739336,0.9447004608294931
7RTR,3QFJ,59.44700460829493,0.9680365296803652
7RTR,3RGV,35.348837209302324,0.9769585253456221
7RTR,3SJV,50.943396226415096,0.9631336405529954
7RTR,3TF7,,0.0
7RTR,3TFK,34.56221198156682,0.9724770642201835
7RTR,3TJH,34.56221198156682,0.9724770642201835
7RTR,3TPU,34.56221198156682,0.9724770642201835
7RTR,3UTS,62.21198156682028,0.9681818181818181
7RTR,3UTT,62.21198156682028,0.9681818181818181
7RTR,3VXM,36.40552995391705,0.9553571428571429
7RTR,3VXR,68.66359447004608,0.9770642201834863
7RTR,3VXS,68.66359447004608,0.9770642201834863
7RTR,3VXU,62.5,0.9861751152073732
7RTR,3W0W,62.5,0.9861751152073732
7RTR,4EUP,60.36866359447004,0.9769585253456221
7RTR,4FTV,59.44700460829493,0.9680365296803652
7RTR,4G8G,34.10138248847926,0.9414414414414415
7RTR,4G9F,34.10138248847926,0.9414414414414415
7RTR,4JFD,57.870370370370374,0.9723502304147466
7RTR,4JFE,57.870370370370374,0.9723502304147466
7RTR,4JFF,57.870370370370374,0.9723502304147466
7RTR,4JRX,35.944700460829495,0.963302752293578
7RTR,4JRY,44.70046082949309,0.9723502304147466
7RTR,4L3E,61.86046511627907,0.9769585253456221
7RTR,4MJI,49.528301886792455,0.9539170506912442
7RTR,4MNQ,32.857142857142854,0.9400921658986175
7RTR,4MS8,34.56221198156682,0.9724770642201835
7RTR,4MVB,34.56221198156682,0.9724770642201835
7RTR,4MXQ,34.56221198156682,0.9724770642201835
7RTR,4N0C,34.56221198156682,0.9724770642201835
7RTR,4N5E,34.56221198156682,0.9724770642201835
7RTR,4NHU,34.41860465116279,0.9769585253456221
7RTR,4PRH,44.339622641509436,0.9493087557603687
7RTR,4PRI,44.339622641509436,0.9493087557603687
7RTR,4PRP,44.339622641509436,0.9493087557603687
7RTR,4QOK,61.111111111111114,0.9723502304147466
7RTR,4QRP,46.08294930875576,0.9726027397260274
7RTR,4QRR,42.857142857142854,0.9292035398230089
7RTR,5BRZ,45.16129032258065,0.9680365296803652
7RTR,5BS0,45.16129032258065,0.9680365296803652
7RTR,5C07,62.21198156682028,0.9681818181818181
7RTR,5C08,62.21198156682028,0.9681818181818181
7RTR,5C09,62.21198156682028,0.9681818181818181
7RTR,5C0A,62.21198156682028,0.9681818181818181
7RTR,5C0B,62.21198156682028,0.9681818181818181
7RTR,5C0C,62.21198156682028,0.9681818181818181
7RTR,5D2L,52.07373271889401,0.9815668202764977
7RTR,5D2N,48.38709677419355,0.9680365296803652
7RTR,5E6I,35.046728971962615,0.9400921658986175
7RTR,5E9D,58.525345622119815,0.9680365296803652
7RTR,5EU6,53.45622119815668,0.9636363636363636
7RTR,5EUO,39.63133640552996,0.9678899082568807
7RTR,5HHM,39.523809523809526,0.9493087557603687
7RTR,5HHO,39.523809523809526,0.9493087557603687
7RTR,5HYJ,62.21198156682028,0.9681818181818181
7RTR,5ISZ,41.2037037037037,0.9769585253456221
7RTR,5IVX,39.1705069124424,0.9724770642201835
7RTR,5JHD,37.78801843317972,0.9459459459459459
7RTR,5JZI,39.351851851851855,0.967741935483871
7RTR,5M00,41.474654377880185,0.9769585253456221
7RTR,5M01,41.474654377880185,0.9769585253456221
7RTR,5M02,41.474654377880185,0.9769585253456221
7RTR,5MEN,33.333333333333336,0.9400921658986175
7RTR,5NHT,61.75115207373272,0.9769585253456221
7RTR,5NME,67.5925925925926,0.9769585253456221
7RTR,5NMF,67.5925925925926,0.9769585253456221
7RTR,5NMG,67.5925925925926,0.9769585253456221
7RTR,5NQK,61.29032258064516,0.9769585253456221
7RTR,5SWS,44.23963133640553,0.9724770642201835
7RTR,5SWZ,43.77880184331797,0.9680365296803652
7RTR,5TEZ,41.935483870967744,0.9636363636363636
7RTR,5TIL,41.474654377880185,0.9769585253456221
7RTR,5TJE,41.474654377880185,0.9769585253456221
7RTR,5W1V,39.63133640552996,0.9403669724770642
7RTR,5W1W,39.63133640552996,0.9403669724770642
7RTR,5WKF,45.16129032258065,0.944954128440367
7RTR,5WKH,45.16129032258065,0.944954128440367
7RTR,5WLG,37.91469194312796,0.9539170506912442
7RTR,5XOT,37.78801843317972,0.9545454545454546
7RTR,5XOV,34.10138248847926,0.9288888888888889
7RTR,5YXN,39.351851851851855,0.967741935483871
7RTR,5YXU,38.425925925925924,0.967741935483871
7RTR,6AM5,62.325581395348834,0.9769585253456221
7RTR,6AMU,62.325581395348834,0.9769585253456221
7RTR,6AVF,30.4147465437788,0.944954128440367
7RTR,6AVG,38.78504672897196,0.9447004608294931
7RTR,6BJ2,40.55299539170507,0.9459459459459459
7RTR,6BJ3,37.78801843317972,0.9545454545454546
7RTR,6BJ8,37.78801843317972,0.9545454545454546
7RTR,6D78,61.86046511627907,0.9769585253456221
7RTR,6D7G,32.25806451612903,0.9372197309417041
7RTR,6DKP,61.395348837209305,0.9769585253456221
7RTR,6EQA,61.111111111111114,0.9723502304147466
7RTR,6EQB,57.870370370370374,0.9723502304147466
7RTR,6G9Q,41.474654377880185,0.9769585253456221
7RTR,6L9L,31.92488262910798,0.967741935483871
7RTR,6MTM,36.492890995260666,0.9400921658986175
7RTR,6P64,47.465437788018434,0.9590909090909091
7RTR,6Q3S,34.56221198156682,0.9636363636363636
7RTR,6R2L,46.54377880184332,0.9447004608294931
7RTR,6RP9,81.10599078341014,0.9730941704035875
7RTR,6RPA,38.24884792626728,0.9377777777777778
7RTR,6RPB,58.064516129032256,0.9769585253456221
7RTR,6RSY,59.44700460829493,0.9497716894977168
7RTR,6TMO,57.870370370370374,0.9723502304147466
7RTR,6TRO,36.866359447004605,0.954954954954955
7RTR,6UK2,47.465437788018434,0.9590909090909091
7RTR,6UK4,47.465437788018434,0.9590909090909091
7RTR,6ULN,36.866359447004605,0.944954128440367
7RTR,6ULR,36.866359447004605,0.9406392694063926
7RTR,6UON,63.59447004608295,0.9861751152073732
7RTR,6UZ1,58.064516129032256,0.9680365296803652
7RTR,6VM7,37.78801843317972,0.9636363636363636
7RTR,6VM8,37.78801843317972,0.9636363636363636
7RTR,6VM9,64.51612903225806,0.981651376146789
7RTR,6VMA,64.51612903225806,0.981651376146789
7RTR,6VMC,64.51612903225806,0.981651376146789
7RTR,6VMX,39.63133640552996,0.9727272727272728
7RTR,6VQO,52.995391705069125,0.963963963963964
7RTR,6VRM,50.23041474654378,0.9678899082568807
7RTR,6VRN,36.40552995391705,0.9375
7RTR,7BYD,32.71889400921659,0.9495412844036697
7RTR,7JWI,43.77880184331797,0.9680365296803652
7RTR,7JWJ,37.2093023255814,0.9539170506912442
7RTR,7N1E,48.8479262672811,0.9590909090909091
7RTR,7N1F,100.0,1.0
7RTR,7N6E,50.23474178403756,0.9723502304147466
6ZKW,1AO7,67.57990867579909,0.9954545454545455
6ZKW,1BD2,66.5137614678899,0.990909090909091
6ZKW,1FO0,32.72727272727273,0.9684684684684685
6ZKW,1G6R,49.30232558139535,0.9727272727272728
6ZKW,1KJ2,37.27272727272727,0.990990990990991
6ZKW,1LP9,44.74885844748859,0.9863636363636363
6ZKW,1MI5,32.27272727272727,0.9683257918552036
6ZKW,1MWA,49.30232558139535,0.9727272727272728
6ZKW,1NAM,32.72727272727273,0.968609865470852
6ZKW,1OGA,48.095238095238095,0.9545454545454546
6ZKW,1QRN,67.57990867579909,0.9954545454545455
6ZKW,1QSE,67.57990867579909,0.9954545454545455
6ZKW,1QSF,67.57990867579909,0.9954545454545455
6ZKW,2AK4,57.72727272727273,0.9864253393665159
6ZKW,2BNQ,90.9090909090909,0.990909090909091
6ZKW,2BNR,90.9090909090909,0.990909090909091
6ZKW,2CKB,49.30232558139535,0.9727272727272728
6ZKW,2E7L,48.372093023255815,0.9727272727272728
6ZKW,2ESV,33.7962962962963,0.9681818181818181
6ZKW,2F53,88.18181818181819,0.990909090909091
6ZKW,2F54,89.0909090909091,0.990909090909091
6ZKW,2GJ6,67.57990867579909,0.9954545454545455
6ZKW,2J8U,44.74885844748859,0.9863636363636363
6ZKW,2JCC,44.74885844748859,0.9863636363636363
6ZKW,2NX5,47.465437788018434,0.9818181818181818
6ZKW,2OI9,48.372093023255815,0.9727272727272728
6ZKW,2OL3,32.72727272727273,0.968609865470852
6ZKW,2P5E,86.81818181818181,0.990909090909091
6ZKW,2P5W,87.27272727272727,0.990909090909091
6ZKW,2PYE,89.54545454545455,0.990909090909091
6ZKW,2UWE,44.74885844748859,0.9863636363636363
6ZKW,2VLJ,48.095238095238095,0.9545454545454546
6ZKW,2VLK,48.095238095238095,0.9545454545454546
6ZKW,2VLR,48.57142857142857,0.9545454545454546
6ZKW,2YPL,46.478873239436616,0.9681818181818181
6ZKW,3D39,67.57990867579909,0.9954545454545455
6ZKW,3D3V,67.57990867579909,0.9954545454545455
6ZKW,3DXA,29.953917050691246,0.9772727272727273
6ZKW,3E2H,47.44186046511628,0.9727272727272728
6ZKW,3E3Q,47.44186046511628,0.9727272727272728
6ZKW,3FFC,35.45454545454545,0.9733333333333334
6ZKW,3GSN,66.82027649769586,0.9863636363636363
6ZKW,3H9S,67.57990867579909,0.9954545454545455
6ZKW,3HG1,42.592592592592595,0.9772727272727273
6ZKW,3KPR,32.27272727272727,0.9683257918552036
6ZKW,3KPS,32.27272727272727,0.9683257918552036
6ZKW,3KXF,57.72727272727273,0.9864253393665159
6ZKW,3MV7,46.22641509433962,0.9272727272727272
6ZKW,3MV8,46.698113207547166,0.9272727272727272
6ZKW,3MV9,46.22641509433962,0.9272727272727272
6ZKW,3O4L,39.06976744186046,0.9590909090909091
6ZKW,3PQY,43.1924882629108,0.9636363636363636
6ZKW,3PWP,67.57990867579909,0.9954545454545455
6ZKW,3QDG,57.2093023255814,0.9772727272727273
6ZKW,3QDJ,57.2093023255814,0.9772727272727273
6ZKW,3QDM,50.23696682464455,0.9545454545454546
6ZKW,3QEQ,50.23696682464455,0.9545454545454546
6ZKW,3QFJ,67.57990867579909,0.9954545454545455
6ZKW,3RGV,45.116279069767444,0.9772727272727273
6ZKW,3SJV,61.320754716981135,0.9636363636363636
6ZKW,3TF7,,0.0
6ZKW,3TFK,48.62385321100918,0.9818181818181818
6ZKW,3TJH,48.62385321100918,0.9818181818181818
6ZKW,3TPU,48.62385321100918,0.9818181818181818
6ZKW,3UTS,40.90909090909091,0.9954545454545455
6ZKW,3UTT,40.90909090909091,0.9954545454545455
6ZKW,3VXM,35.45454545454545,0.9732142857142857
6ZKW,3VXR,60.091743119266056,0.9863636363636363
6ZKW,3VXS,60.091743119266056,0.9863636363636363
6ZKW,3VXU,53.24074074074074,0.9727272727272728
6ZKW,3W0W,53.24074074074074,0.9727272727272728
6ZKW,4EUP,48.38709677419355,0.9863636363636363
6ZKW,4FTV,66.66666666666667,0.9954545454545455
6ZKW,4G8G,64.0909090909091,0.9774774774774775
6ZKW,4G9F,64.0909090909091,0.9774774774774775
6ZKW,4JFD,38.888888888888886,0.9772727272727273
6ZKW,4JFE,38.888888888888886,0.9772727272727273
6ZKW,4JFF,38.888888888888886,0.9772727272727273
6ZKW,4JRX,57.3394495412844,0.9772727272727273
6ZKW,4JRY,39.1705069124424,0.9863636363636363
6ZKW,4L3E,56.74418604651163,0.9772727272727273
6ZKW,4MJI,42.924528301886795,0.9590909090909091
6ZKW,4MNQ,67.61904761904762,0.9363636363636364
6ZKW,4MS8,48.62385321100918,0.9818181818181818
6ZKW,4MVB,48.62385321100918,0.9818181818181818
6ZKW,4MXQ,48.62385321100918,0.9818181818181818
6ZKW,4N0C,48.62385321100918,0.9818181818181818
6ZKW,4N5E,48.62385321100918,0.9818181818181818
6ZKW,4NHU,48.83720930232558,0.9727272727272728
6ZKW,4PRH,46.22641509433962,0.9272727272727272
6ZKW,4PRI,46.22641509433962,0.9272727272727272
6ZKW,4PRP,46.22641509433962,0.9272727272727272
6ZKW,4QOK,42.592592592592595,0.9772727272727273
6ZKW,4QRP,31.506849315068493,0.990909090909091
6ZKW,4QRR,35.90909090909091,0.9690265486725663
6ZKW,5BRZ,59.817351598173516,0.9863636363636363
6ZKW,5BS0,59.817351598173516,0.9863636363636363
6ZKW,5C07,40.90909090909091,0.9954545454545455
6ZKW,5C08,40.90909090909091,0.9954545454545455
6ZKW,5C09,40.90909090909091,0.9954545454545455
6ZKW,5C0A,40.90909090909091,0.9954545454545455
6ZKW,5C0B,40.90909090909091,0.9954545454545455
6ZKW,5C0C,40.90909090909091,0.9954545454545455
6ZKW,5D2L,37.78801843317972,0.9818181818181818
6ZKW,5D2N,30.136986301369863,0.9772727272727273
6ZKW,5E6I,49.06542056074766,0.9590909090909091
6ZKW,5E9D,63.926940639269404,0.9954545454545455
6ZKW,5EU6,62.72727272727273,0.9863636363636363
6ZKW,5EUO,48.1651376146789,0.9818181818181818
6ZKW,5HHM,48.095238095238095,0.9545454545454546
6ZKW,5HHO,49.04761904761905,0.9545454545454546
6ZKW,5HYJ,40.90909090909091,0.9954545454545455
6ZKW,5ISZ,49.53703703703704,0.9818181818181818
6ZKW,5IVX,48.1651376146789,0.9818181818181818
6ZKW,5JHD,43.63636363636363,0.9684684684684685
6ZKW,5JZI,45.833333333333336,0.9681818181818181
6ZKW,5M00,47.92626728110599,0.9863636363636363
6ZKW,5M01,47.92626728110599,0.9863636363636363
6ZKW,5M02,47.92626728110599,0.9863636363636363
6ZKW,5MEN,70.0,0.9454545454545454
6ZKW,5NHT,48.38709677419355,0.9863636363636363
6ZKW,5NME,38.888888888888886,0.9818181818181818
6ZKW,5NMF,38.888888888888886,0.9818181818181818
6ZKW,5NMG,38.888888888888886,0.9818181818181818
6ZKW,5NQK,47.92626728110599,0.9863636363636363
6ZKW,5SWS,38.99082568807339,0.9863636363636363
6ZKW,5SWZ,39.726027397260275,0.990909090909091
6ZKW,5TEZ,48.18181818181818,0.990909090909091
6ZKW,5TIL,47.92626728110599,0.9863636363636363
6ZKW,5TJE,47.92626728110599,0.9863636363636363
6ZKW,5W1V,39.44954128440367,0.9454545454545454
6ZKW,5W1W,39.44954128440367,0.9454545454545454
6ZKW,5WKF,33.48623853211009,0.9863636363636363
6ZKW,5WKH,33.944954128440365,0.9863636363636363
6ZKW,5WLG,51.18483412322275,0.9590909090909091
6ZKW,5XOT,55.0,0.9954545454545455
6ZKW,5XOV,34.09090909090909,0.9733333333333334
6ZKW,5YXN,45.833333333333336,0.9681818181818181
6ZKW,5YXU,46.2962962962963,0.9681818181818181
6ZKW,6AM5,57.2093023255814,0.9772727272727273
6ZKW,6AMU,57.2093023255814,0.9772727272727273
6ZKW,6AVF,40.36697247706422,0.9772727272727273
6ZKW,6AVG,38.3177570093458,0.9409090909090909
6ZKW,6BJ2,36.36363636363637,0.9774774774774775
6ZKW,6BJ3,55.0,0.9954545454545455
6ZKW,6BJ8,55.0,0.9954545454545455
6ZKW,6D78,56.74418604651163,0.9772727272727273
6ZKW,6D7G,31.818181818181817,0.9641255605381166
6ZKW,6DKP,56.74418604651163,0.9772727272727273
6ZKW,6EQA,42.592592592592595,0.9772727272727273
6ZKW,6EQB,38.888888888888886,0.9772727272727273
6ZKW,6G9Q,47.92626728110599,0.9863636363636363
6ZKW,6L9L,46.948356807511736,0.9636363636363636
6ZKW,6MTM,44.07582938388626,0.9545454545454546
