step,sigma,n_structures,ca_rmsd_to_final_mean,ca_rmsd_to_final_median,ca_rmsd_to_final_p90,ca_rmsd_to_native_mean,ca_rmsd_step_delta_mean
1,2485.54,30,2471.1504,2466.5865,2501.4489,2471.1928,
2,2412.94,30,2135.5976,2134.2272,2156.2385,2135.6157,2620.3232
3,2342.16,30,2047.2156,2048.4081,2069.3440,2047.0926,2432.7198
4,2273.18,30,1978.2586,1980.7237,1996.5250,1978.2784,2349.1156
5,2205.94,30,1923.1107,1924.0533,1942.4645,1923.1732,2283.8073
6,2140.41,30,1859.9709,1861.7675,1875.5418,1860.0126,2201.1205
7,2076.56,30,1808.2947,1808.4440,1825.3702,1808.3406,2136.8183
8,2014.35,30,1751.6359,1750.1488,1775.9857,1751.7030,2074.9765
9,1953.74,30,1700.0525,1699.9229,1721.1200,1699.9481,2011.5396
10,1894.71,30,1653.5542,1653.3292,1671.0260,1653.5951,1955.5984
11,1837.2,30,1598.2205,1600.9069,1612.4776,1598.2154,1897.1986
12,1781.21,30,1548.4760,1547.5756,1561.9848,1548.4272,1838.2041
13,1726.68,30,1501.8189,1503.5621,1515.6586,1501.8511,1781.9332
14,1673.58,30,1455.2857,1453.6162,1474.8652,1455.3455,1725.1786
15,1621.9,30,1408.3714,1408.1061,1425.6672,1408.3622,1671.5062
16,1571.58,30,1365.3810,1365.4420,1378.3387,1365.4100,1619.4347
17,1522.62,30,1319.8336,1318.0539,1332.4124,1319.8561,1565.4188
18,1474.96,30,1283.1316,1282.2034,1295.1660,1283.1516,1517.1670
19,1428.59,30,1238.4473,1237.1164,1253.1736,1238.4417,1472.8562
20,1383.47,30,1199.0931,1200.4815,1211.5220,1199.1578,1422.4391
21,1339.59,30,1160.4214,1159.5549,1172.7481,1160.4219,1376.5202
22,1296.9,30,1121.8066,1123.0402,1131.9371,1121.7937,1332.5631
23,1255.38,30,1088.4352,1090.6016,1100.0445,1088.4615,1291.1746
24,1215,30,1051.8806,1053.0509,1063.4069,1051.8924,1249.8586
25,1175.75,30,1014.8513,1014.8087,1024.6484,1014.8468,1207.8455
26,1137.58,30,984.5911,984.3076,993.1532,984.6080,1166.5981
27,1100.49,30,953.7399,954.2306,963.2683,953.7363,1134.6865
28,1064.43,30,921.4927,920.8763,932.1311,921.5007,1094.7628
29,1029.39,30,893.6555,893.6335,905.4942,893.6527,1059.7299
30,995.349,30,860.5980,861.4447,871.9330,860.6337,1021.7982
31,962.275,30,832.0234,833.1316,840.0496,832.0551,990.6418
32,930.147,30,803.8099,804.2112,814.5034,803.8237,955.6919
33,898.942,30,778.4950,778.4595,785.8985,778.5024,925.3033
34,868.639,30,750.3665,750.0869,755.3139,750.3461,893.9398
35,839.216,30,723.6198,722.8468,731.2372,723.6033,862.4752
36,810.652,30,699.2664,698.0182,708.1986,699.2730,833.1036
37,782.924,30,674.5393,674.4956,684.6726,674.5521,803.1190
38,756.014,30,652.7586,653.7104,661.8960,652.7775,777.1049
39,729.901,30,629.6690,629.4677,637.2868,629.7120,751.4652
40,704.564,30,606.7634,606.9540,612.8621,606.7834,722.4195
41,679.985,30,586.0106,585.6925,592.4446,586.0403,697.3904
42,656.145,30,564.8827,564.7199,572.0341,564.8735,672.5799
43,633.025,30,543.1155,543.4136,549.7773,543.1274,650.4070
44,610.606,30,525.8671,525.8386,530.4795,525.8736,625.5849
45,588.872,30,506.9787,507.6477,512.3661,507.0171,603.8960
46,567.804,30,488.8637,489.3476,493.7637,488.8972,581.6623
47,547.386,30,469.5324,469.4419,474.8502,469.5282,561.9056
48,527.6,30,454.3874,455.4830,458.0503,454.3763,540.6829
49,508.43,30,436.1509,436.5678,440.4288,436.1830,521.1052
50,489.861,30,420.9970,421.3029,425.4165,421.0019,501.8197
51,471.875,30,404.6648,404.8182,409.0626,404.6857,482.3539
52,454.46,30,389.9060,389.6837,394.0522,389.9444,466.1302
53,437.597,30,375.7345,375.5937,379.5854,375.7383,448.1359
54,421.274,30,360.7399,360.4824,364.4660,360.7845,430.6389
55,405.476,30,347.3410,347.2432,350.4185,347.3368,414.3555
56,390.188,30,333.8520,333.9203,336.6512,333.8607,398.5071
57,375.397,30,322.0351,322.6683,324.8667,322.0495,382.9249
58,361.089,30,309.7319,310.0609,314.2374,309.7813,368.7005
59,347.251,30,297.6498,297.4929,300.5218,297.6631,355.3335
60,333.87,30,284.6602,285.0874,287.6665,284.6870,341.3318
61,320.934,30,273.2215,273.1364,275.9722,273.2507,327.6229
62,308.43,30,263.7754,264.2474,266.3346,263.7769,315.4439
63,296.345,30,253.1446,253.1241,255.7161,253.1136,303.8145
64,284.669,30,243.0698,243.1759,245.6917,243.0803,291.8776
65,273.389,30,233.8239,233.9439,235.4081,233.8340,279.4129
66,262.495,30,223.8826,223.6052,226.2866,223.8913,268.7825
67,251.974,30,214.4968,214.5498,216.6858,214.5342,257.2351
68,241.818,30,206.3215,206.6920,208.6659,206.3318,247.2229
69,232.014,30,196.9096,196.7724,198.4215,196.9285,236.7925
70,222.553,30,189.8538,189.8897,191.8195,189.8719,226.3082
71,213.425,30,181.8118,181.7065,184.5479,181.8149,217.6404
72,204.619,30,174.3218,174.1761,176.0383,174.3491,208.8288
73,196.127,30,166.9910,166.9822,168.4297,167.0296,200.3682
74,187.938,30,159.9559,159.7778,161.6578,159.9868,191.2366
75,180.045,30,153.1986,153.2305,154.5791,153.2503,184.1082
76,172.437,30,146.4651,146.5750,147.6645,146.5481,175.9248
77,165.106,30,139.9947,140.1391,141.6596,140.0834,168.2337
78,158.045,30,134.3667,134.0857,136.2515,134.4540,160.5338
79,151.243,30,128.3337,128.5376,129.7155,128.4223,154.0330
80,144.695,30,122.7475,122.6270,123.8753,122.8334,147.5790
81,138.39,30,117.6181,117.7535,119.0704,117.7060,141.0395
82,132.323,30,112.1475,112.1680,113.1810,112.2493,135.1711
83,126.485,30,106.9880,106.8662,108.2747,107.0931,128.5378
84,120.869,30,102.3006,102.1076,103.6038,102.4130,122.8194
85,115.469,30,97.8198,97.7477,98.7056,97.9446,117.1866
86,110.276,30,93.3382,93.1152,94.4172,93.4938,112.2685
87,105.285,30,89.1633,89.1239,89.9763,89.3467,107.0920
88,100.489,30,85.0853,85.0197,86.1623,85.2765,102.0947
89,95.8813,30,81.0172,81.0665,81.7905,81.2017,97.5902
90,91.4559,30,77.0824,77.0921,77.7161,77.2820,92.9782
91,87.2068,30,73.4514,73.4014,74.1684,73.6183,88.5592
92,83.1281,30,70.1701,70.2141,70.9655,70.3824,84.2296
93,79.2139,30,66.5617,66.6322,67.1235,66.8127,80.3877
94,75.4588,30,63.4026,63.3618,64.0674,63.6358,76.3380
95,71.8574,30,60.4035,60.3304,61.2157,60.6665,72.7632
96,68.4042,30,57.5133,57.4814,58.0405,57.7726,69.2125
97,65.0944,30,54.6171,54.5417,55.3169,54.9284,66.0539
98,61.9226,30,52.0904,52.0928,52.6955,52.4032,62.7228
99,58.8844,30,49.3573,49.2860,50.0165,49.6576,59.7724
100,55.9748,30,46.8414,46.8492,47.3942,47.1452,56.5634
101,53.1893,30,44.4266,44.5493,45.0747,44.7432,53.7848
102,50.5235,30,42.2413,42.2021,42.6655,42.5941,51.1207
103,47.9731,30,40.0817,40.0886,40.5845,40.4698,48.4980
104,45.5338,30,38.0264,37.9676,38.3016,38.4499,45.9088
105,43.2016,30,35.9888,36.0609,36.2889,36.4173,43.5114
106,40.9725,30,34.2435,34.2649,34.5444,34.6917,41.3948
107,38.8428,30,32.4436,32.4361,32.9184,32.9090,39.2948
108,36.8086,30,30.8118,30.8312,31.2373,31.3176,37.2700
109,34.8665,30,29.0583,28.9829,29.4603,29.5985,35.1946
110,33.0129,30,27.4442,27.4615,27.8144,27.9988,33.3767
111,31.2443,30,25.9761,25.9610,26.2324,26.5844,31.3715
112,29.5577,30,24.5312,24.5103,24.8788,25.1637,29.7302
113,27.9497,30,23.2525,23.2317,23.5339,23.9008,28.1804
114,26.4172,30,21.9673,21.9459,22.1845,22.6387,26.6526
115,24.9573,30,20.7004,20.6976,20.9041,21.4219,25.1000
116,23.5672,30,19.5416,19.5577,19.7526,20.2910,23.8196
117,22.2439,30,18.3401,18.3579,18.5433,19.1523,22.2828
118,20.9849,30,17.3932,17.3823,17.6140,18.2078,21.1436
119,19.7874,30,16.3571,16.3365,16.5284,17.2341,19.9208
120,18.649,30,15.3742,15.3859,15.5093,16.2824,18.7167
121,17.5672,30,14.5039,14.5116,14.6244,15.4364,17.6100
122,16.5396,30,13.6063,13.6499,13.7663,14.5789,16.6314
123,15.564,30,12.8573,12.8781,13.0155,13.8696,15.5662
124,14.6382,30,12.0835,12.0737,12.2530,13.1514,14.7080
125,13.7599,30,11.3139,11.3040,11.4494,12.4300,13.8092
