model,config,pdb_id,mhc_class,review_status,chain,chain_role,pdockq2,if_plddt,if_pae_norm,n_contacts,contacts_chains,mean_pdockq2,n_chains,global_dockq
AF3,af3-server,24ST,Class I,READY,A,MHC,0.8975,96.67,0.9815,44,BCD,0.829,4,0.5535
AF3,af3-server,24ST,Class I,READY,B,peptide,0.8195,94.86,0.9633,41,ACD,0.829,4,0.5535
AF3,af3-server,24ST,Class I,READY,C,TCRa,0.758,93.44,0.9498,38,ABD,0.829,4,0.5535
AF3,af3-server,24ST,Class I,READY,D,TCRb,0.8411,95.25,0.9693,49,ABC,0.829,4,0.5535
AF3,af3-server,28IL,Class I,READY,A,MHC,0.5569,89.65,0.8976,64,BCD,0.5187,4,0.5803
AF3,af3-server,28IL,Class I,READY,B,peptide,0.6253,88.32,0.9432,40,ACD,0.5187,4,0.5803
AF3,af3-server,28IL,Class I,READY,C,TCRa,0.3378,82.03,0.8571,64,ABD,0.5187,4,0.5803
AF3,af3-server,28IL,Class I,READY,D,TCRb,0.5549,87.96,0.914,54,ABC,0.5187,4,0.5803
AF3,af3-server,43RH,Class I,READY,A,MHC,0.8608,95.99,0.9709,76,BCD,0.8008,4,0.8467
AF3,af3-server,43RH,Class I,READY,B,peptide,0.9155,97.28,0.9842,47,ACD,0.8008,4,0.8467
AF3,af3-server,43RH,Class I,READY,C,TCRa,0.5775,88.09,0.9234,78,ABD,0.8008,4,0.8467
AF3,af3-server,43RH,Class I,READY,D,TCRb,0.8496,95.36,0.9721,61,ABC,0.8008,4,0.8467
AF3,af3-server,6ZKW,Class I,READY,A,MHC,0.9025,96.81,0.9826,55,BCD,0.8821,4,0.8792
AF3,af3-server,6ZKW,Class I,READY,B,peptide,0.9005,96.95,0.9802,42,AC,0.8821,4,0.8792
AF3,af3-server,6ZKW,Class I,READY,C,TCRa,0.887,96.67,0.9765,63,ABD,0.8821,4,0.8792
AF3,af3-server,6ZKW,Class I,READY,D,TCRb,0.8385,95.24,0.9682,58,AC,0.8821,4,0.8792
AF3,af3-server,6ZKX,Class I,READY,A,MHC,0.489,86.34,0.8984,68,BCD,0.599,4,0.6652
AF3,af3-server,6ZKX,Class I,READY,B,peptide,0.4427,84.61,0.8923,58,AC,0.599,4,0.6652
AF3,af3-server,6ZKX,Class I,READY,C,TCRa,0.7869,93.45,0.9628,63,ABD,0.599,4,0.6652
AF3,af3-server,6ZKX,Class I,READY,D,TCRb,0.6773,90.19,0.9472,59,AC,0.599,4,0.6652
AF3,af3-server,6ZKY,Class I,READY,A,MHC,0.6885,91.37,0.94,53,BCD,0.6328,4,0.7455
AF3,af3-server,6ZKY,Class I,READY,B,peptide,0.4432,85.91,0.8791,41,ACD,0.6328,4,0.7455
AF3,af3-server,6ZKY,Class I,READY,C,TCRa,0.722,91.96,0.949,64,ABD,0.6328,4,0.7455
AF3,af3-server,6ZKY,Class I,READY,D,TCRb,0.6774,90.69,0.9421,60,ABC,0.6328,4,0.7455
AF3,af3-server,6ZKZ,Class I,READY,A,MHC,0.6455,90.56,0.929,55,BCD,0.6464,4,0.7194
AF3,af3-server,6ZKZ,Class I,READY,B,peptide,0.6204,89.16,0.9321,43,ACD,0.6464,4,0.7194
AF3,af3-server,6ZKZ,Class I,READY,C,TCRa,0.6723,90.89,0.9377,62,ABD,0.6464,4,0.7194
AF3,af3-server,6ZKZ,Class I,READY,D,TCRb,0.6474,89.69,0.9389,56,ABC,0.6464,4,0.7194
AF3,af3-server,7DZM,Class I,READY,A,MHC,0.9278,97.68,0.9863,56,BCD,0.8941,4,0.9292
AF3,af3-server,7DZM,Class I,READY,B,peptide,0.9204,97.52,0.9842,44,ACD,0.8941,4,0.9292
AF3,af3-server,7DZM,Class I,READY,C,TCRa,0.8509,95.17,0.9747,38,ABD,0.8941,4,0.9292
