model,config,pdb_id,mhc_class,review_status,mean_pdockq2,n_chains,global_dockq
AF3,af3-server,24ST,Class I,READY,0.829,4,0.5535
AF3,af3-server,28IL,Class I,READY,0.5187,4,0.5803
AF3,af3-server,43RH,Class I,READY,0.8008,4,0.8467
AF3,af3-server,6ZKW,Class I,READY,0.8821,4,0.8792
AF3,af3-server,6ZKX,Class I,READY,0.599,4,0.6652
AF3,af3-server,6ZKY,Class I,READY,0.6328,4,0.7455
AF3,af3-server,6ZKZ,Class I,READY,0.6464,4,0.7194
AF3,af3-server,7DZM,Class I,READY,0.8941,4,0.9292
AF3,af3-server,7DZN,Class I,READY,0.8757,4,0.9236
AF3,af3-server,7L1D,Class I,READY,0.3971,4,0.5972
AF3,af3-server,7N2N,Class I,READY,0.7253,4,0.3938
AF3,af3-server,7N2O,Class I,READY,0.7561,4,0.8083
AF3,af3-server,7N2P,Class I,READY,0.3234,4,0.6983
AF3,af3-server,7N2Q,Class I,READY,0.2514,4,0.7145
AF3,af3-server,7N2R,Class I,READY,0.1419,4,0.6743
AF3,af3-server,7N2S,Class I,READY,0.2377,4,0.4488
AF3,af3-server,7N4K,Class I,READY,0.3904,4,0.8061
AF3,af3-server,7N5C,Class I,READY,0.7553,4,0.8988
AF3,af3-server,7N5P,Class I,READY,0.3335,4,0.7594
AF3,af3-server,7NA5,Class I,READY,0.5602,4,0.5197
AF3,af3-server,7NDQ,Class I,READY,0.6511,4,0.5765
AF3,af3-server,7NDT,Class I,READY,0.4032,4,0.6765
AF3,af3-server,7NDU,Class I,READY,0.749,4,0.6714
AF3,af3-server,7NME,Class I,READY,0.8515,4,0.7199
AF3,af3-server,7NMF,Class I,READY,0.8327,4,0.7068
AF3,af3-server,7NMG,Class I,READY,0.8756,4,0.8637
AF3,af3-server,7OW5,Class I,READY,0.7806,4,0.8625
AF3,af3-server,7OW6,Class I,READY,0.6817,4,0.8592
AF3,af3-server,7PB2,Class I,READY,0.2171,4,0.3062
AF3,af3-server,7PBC,Class I,READY,0.8968,4,0.9041
AF3,af3-server,7PBE,Class I,READY,0.9148,4,0.8819
AF3,af3-server,7PDW,Class I,READY,0.8785,4,0.9173
AF3,af3-server,7PHR,Class I,READY,0.9185,4,0.9087
AF3,af3-server,7Q99,Class I,READY,0.7832,4,0.7727
AF3,af3-server,7Q9A,Class I,READY,0.771,4,0.9037
AF3,af3-server,7Q9B,Class I,READY,0.8833,4,0.514
AF3,af3-server,7QPJ,Class I,READY,0.9149,4,0.8968
AF3,af3-server,7R80,Class I,READY,0.8479,4,0.7558
AF3,af3-server,7RDV,Class II,READY,0.5738,5,0.4097
AF3,af3-server,7RK7,Class I,READY,0.284,4,0.2385
AF3,af3-server,7RM4,Class I,READY,0.2486,4,0.3363
AF3,af3-server,7RRG,Class I,READY,0.1726,4,0.3214
AF3,af3-server,7RTR,Class I,READY,0.5922,4,0.5422
AF3,af3-server,7SG0,Class II,READY,0.8128,5,0.7347
AF3,af3-server,7SG1,Class II,READY,0.777,5,0.3965
AF3,af3-server,7SG2,Class II,READY,0.9031,5,0.7057
AF3,af3-server,7SU9,Class I,READY,0.7872,4,0.7699
AF3,af3-server,7T2B,Class II,READY,0.8018,5,0.8097
AF3,af3-server,7T2C,Class II,READY,0.7642,5,0.782
AF3,af3-server,7T2D,Class II,READY,0.7983,5,0.7516
AF3,af3-server,7Z50,Class II,READY,0.8447,5,0.7605
AF3,af3-server,8CX4,Class I,READY,0.3406,4,0.7974
AF3,af3-server,8D5Q,Class I,READY,0.8112,4,0.9285
AF3,af3-server,8DNT,Class I,READY,0.8118,4,0.8122
AF3,af3-server,8EN8,Class I,READY,0.7921,4,0.905
AF3,af3-server,8ENH,Class I,READY,0.1031,4,0.515
AF3,af3-server,8EO8,Class I,READY,0.1592,4,0.4549
AF3,af3-server,8ES8,Class I,READY,0.1703,4,0.7029
AF3,af3-server,8ES9,Class I,READY,0.6297,4,0.3678
AF3,af3-server,8F5A,Class I,READY,0.3815,4,0.6308
AF3,af3-server,8GOM,Class I,READY,0.4743,4,0.7061
AF3,af3-server,8GON,Class I,READY,0.2163,4,0.3691
AF3,af3-server,8GVB,Class I,READY,0.8455,4,0.8287
AF3,af3-server,8GVG,Class I,READY,0.8154,4,0.8254
AF3,af3-server,8GVI,Class I,READY,0.8903,4,0.8825
AF3,af3-server,8I5C,Class I,READY,0.6543,4,0.7688
AF3,af3-server,8I5D,Class I,READY,0.4642,4,0.6327
AF3,af3-server,8PJG,Class II,READY,0.8755,5,0.9453
AF3,af3-server,8QFY,Class I,READY,0.9126,4,0.937
AF3,af3-server,8RJ5,Class I,READY,0.5867,4,0.5579
AF3,af3-server,8RLT,Class I,READY,0.8443,4,0.8923
AF3,af3-server,8RLU,Class I,READY,0.6547,4,0.8705
AF3,af3-server,8RLV,Class I,READY,0.8549,4,0.8271
AF3,af3-server,8RRO,Class I,READY,0.4742,4,0.7501
AF3,af3-server,8RYM,Class I,READY,0.2805,4,0.7551
AF3,af3-server,8RYN,Class I,READY,0.5372,4,0.8698
AF3,af3-server,8RYO,Class I,READY,0.3075,4,0.2813
AF3,af3-server,8RYP,Class I,READY,0.6195,4,0.8634
AF3,af3-server,8RYQ,Class I,READY,0.7703,4,0.8788
AF3,af3-server,8SHI,Class I,READY,0.8291,4,0.5471
AF3,af3-server,8V4Z,Class I,READY,0.7371,4,0.8071
AF3,af3-server,8V50,Class I,READY,0.7454,4,0.8112
AF3,af3-server,8V51,Class I,READY,0.6865,4,0.7881
AF3,af3-server,8VCX,Class II,READY,0.8418,5,0.7669
AF3,af3-server,8VCY,Class II,READY,0.6778,5,0.7633
AF3,af3-server,8VD2,Class II,READY,0.7004,5,0.7045
AF3,af3-server,8WTE,Class I,READY,0.31,4,0.7154
AF3,af3-server,8WUL,Class I,READY,0.685,4,0.7641
AF3,af3-server,8YE4,Class I,READY,0.3197,4,0.6051
AF3,af3-server,8YIV,Class I,READY,0.8981,4,0.7961
AF3,af3-server,8YJ2,Class I,READY,0.9045,4,0.7982
AF3,af3-server,9D95,Class I,READY,0.2188,4,0.7875
AF3,af3-server,9EJG,Class II,READY,0.82,5,0.8218
AF3,af3-server,9EJH,Class II,READY,0.7429,5,0.5567
AF3,af3-server,9EJI,Class II,READY,0.8492,5,0.5697
AF3,af3-server,9GV6,Class I,READY,0.3544,4,0.6423
AF3,af3-server,9GV7,Class I,READY,0.1852,4,0.3148
AF3,af3-server,9HLJ,Class I,READY,0.4598,4,0.5999
AF3,af3-server,9IKY,Class I,READY,0.6339,4,0.7833
AF3,af3-server,9J4T,Class I,READY,0.2883,4,0.6269
AF3,af3-server,9J4U,Class I,READY,0.76,4,0.8259
AF3,af3-server,9K2I,Class I,READY,0.1982,4,0.353
AF3,af3-server,9K2R,Class I,READY,0.228,4,0.6666
AF3,af3-server,9LLU,Class I,READY,0.4777,4,0.5071
AF3,af3-server,9NDS,Class I,READY,0.9356,4,0.9337
AF3,af3-server,9NMU,Class I,READY,0.6477,4,0.8292
AF3,af3-server,9NMV,Class I,READY,0.6904,4,0.8491
AF3,af3-server,9NMW,Class I,READY,0.7022,4,0.8225
AF3,af3-server,9NMX,Class I,READY,0.6803,4,0.8222
AF3,af3-server,9NMY,Class I,READY,0.6875,4,0.8182
AF3,af3-server,9NU7,Class I,READY,0.7184,4,0.6056
AF3,af3-server,9NV2,Class I,READY,0.6666,4,0.775
AF3,af3-server,9NV6,Class I,READY,0.5381,4,0.7149
AF3,af3-server,9NVA,Class I,READY,0.4742,4,0.5572
AF3,af3-server,9NVE,Class I,READY,0.5274,4,0.7269
AF3,af3-server,9NW2,Class I,READY,0.4125,4,0.3338
AF3,af3-server,9PBG,Class I,READY,0.175,4,0.5213
AF3,af3-server,9PBH,Class I,READY,0.1707,4,0.43
AF3,af3-server,9RU5,Class I,READY,0.22,4,0.6078
AF3,af3-server,9RUP,Class I,READY,0.2422,4,0.2383
AF3,af3-server,9RXM,Class I,READY,0.4888,4,0.5449
AF3,af3-server,9WBD,Class I,READY,0.821,4,0.8689
AF3,af3-server,9WC2,Class I,READY,0.5494,4,0.8249
AF3,af3-server,9WC3,Class I,READY,0.5053,4,0.8495
AF3,af3-server,9YW4,Class I,READY,0.2269,4,0.4652
AF3,af3-server,9ZCL,Class I,READY,0.317,4,0.4353
