target,n_binary_candidates,binary_pep_identity,binary_pep_ref,binary_pmhc_prior
7RTR,226,100.0,7MKB,True
7RM4,226,100.0,6VR5,True
7PBE,226,100.0,7MKB,True
7PBC,226,66.66666666666667,1I4F,False
7PDW,226,66.66666666666667,1I4F,False
7PHR,226,88.88888888888889,5EU3,False
7RK7,226,44.44444444444444,3FQN,False
7Q99,226,66.66666666666667,1EEZ,False
7Q9A,226,66.66666666666667,1JHT,False
7Q9B,226,100.0,2GT9,True
8GOM,226,100.0,7N1B,True
8GON,226,88.88888888888889,7N1B,False
8ES8,226,100.0,1I4F,True
8ES9,226,100.0,1I4F,True
8DNT,226,100.0,7KGQ,True
9GV6,226,50.0,4UQ3,False
9GV7,226,55.55555555555556,3REW,False
9J4U,226,100.0,7KGQ,True
9K2I,226,55.55555555555556,4GKN,False
9NMU,226,44.44444444444444,1HHG,False
9NMV,226,44.44444444444444,1HHG,False
9NMW,226,44.44444444444444,1HHG,False
9NMX,226,44.44444444444444,1HHG,False
9NMY,226,44.44444444444444,1HHG,False
9LLU,226,55.55555555555556,5N1Y,False
6ZKW,11,100.0,6GH1,True
6ZKX,11,100.0,6GH1,True
6ZKY,11,100.0,6GH1,True
6ZKZ,11,100.0,6GH1,True
7NDT,11,87.5,1KPR,False
7DZM,21,100.0,4U1I,True
7DZN,43,100.0,4U1J,True
7NDQ,11,88.88888888888889,6GL1,False
8QFY,11,100.0,6GH1,True
8RLT,11,44.44444444444444,6GH1,False
8RLU,11,44.44444444444444,6GH1,False
8RLV,11,44.44444444444444,6GH1,False
7NDU,11,87.5,6GL1,False
7SG0,6,72.72727272727273,1S9V,False
7SG1,6,90.9090909090909,1S9V,True
7SG2,6,72.72727272727273,1S9V,False
9EJG,6,80.0,1S9V,False
7L1D,19,33.333333333333336,3RL1,False
7RRG,19,33.333333333333336,3RL1,False
8RYM,19,33.333333333333336,4MJ5,False
8RYO,19,33.333333333333336,4MJ5,False
8RYP,19,33.333333333333336,4MJ5,False
8RRO,19,22.22222222222222,6O9B,False
7SU9,7,100.0,6JTO,True
7NA5,70,33.333333333333336,6WZY,False
7R80,53,100.0,5IM7,True
7N4K,70,100.0,1WBY,True
7N5C,70,90.0,1WBY,True
7N5P,70,90.0,1WBY,True
9NU7,70,100.0,1HOC,True
9NV6,70,100.0,1HOC,True
9NVA,70,100.0,1HOC,True
9NVE,70,100.0,1HOC,True
9NW2,70,100.0,1HOC,True
7OW5,18,22.22222222222222,6JOZ,False
7PB2,18,22.22222222222222,6JOZ,False
8RYN,18,33.333333333333336,4MJ5,False
8RYQ,18,33.333333333333336,4MJ5,False
7OW6,18,22.22222222222222,6JOZ,False
8I5C,18,22.22222222222222,1QVO,False
8I5D,18,22.22222222222222,1QVO,False
8WTE,18,22.22222222222222,1QVO,False
8WUL,18,22.22222222222222,1QVO,False
9IKY,18,22.22222222222222,1QVO,False
7Z50,9,7.6923076923076925,1F3J,False
7RDV,9,16.666666666666668,1F3J,False
7QPJ,226,66.66666666666667,1I4F,False
9NDS,226,100.0,1DUY,True
7NME,29,33.333333333333336,3I6L,False
7NMF,29,33.333333333333336,3I6L,False
7NMG,29,25.0,4WU5,False
8GVG,29,100.0,3VXO,True
8GVI,29,100.0,3NFN,True
8YE4,29,100.0,7F4W,True
8RJ5,29,100.0,7F4W,True
28IL,29,100.0,7F4W,True
8D5Q,7,44.44444444444444,1LD9,False
8GVB,29,100.0,3NFN,True
7N2N,50,33.333333333333336,1HSA,False
7N2O,50,33.333333333333336,6PYJ,False
7N2P,50,11.11111111111111,1HSA,False
7N2Q,50,33.333333333333336,6PYJ,False
7N2R,50,33.333333333333336,1HSA,False
7N2S,50,33.333333333333336,1HSA,False
8CX4,50,33.333333333333336,6PYJ,False
9PBG,50,33.333333333333336,6PYJ,False
9PBH,50,44.44444444444444,6VPZ,False
7T2B,6,0.0,,False
7T2C,6,0.0,,False
7T2D,6,0.0,,False
8SHI,5,100.0,5W67,True
8EN8,65,100.0,3LKP,True
8V51,65,100.0,3LKS,True
8ENH,56,88.88888888888889,3LKP,False
8EO8,56,88.88888888888889,3LKP,False
8V4Z,56,88.88888888888889,3LKP,False
8V50,56,88.88888888888889,3LKP,False
8F5A,38,100.0,5V5M,True
8PJG,58,92.3076923076923,1DLH,True
8VCX,4,40.0,5UJT,False
8VD2,4,35.714285714285715,5UJT,False
8VCY,4,40.0,2NNA,False
8YIV,5,100.0,6MPP,True
8YJ2,5,90.0,6MPP,True
9YW4,5,100.0,6MPP,True
9ZCL,5,100.0,6MPP,True
9EJH,6,100.0,5KSV,True
9EJI,0,0.0,,False
9HLJ,13,33.333333333333336,6JTN,False
9K2R,13,33.333333333333336,5VGD,False
9J4T,21,100.0,7LG0,True
9WBD,21,100.0,7LG0,True
9RU5,5,33.333333333333336,6AT9,False
9RUP,5,33.333333333333336,6AT9,False
9RXM,5,33.333333333333336,6AT9,False
9D95,3,37.5,4O2F,False
24ST,21,100.0,4U1I,True
9WC2,226,100.0,3HPJ,True
9WC3,226,100.0,3MYJ,True
43RH,1,11.11111111111111,1K8D,False
9NV2,70,100.0,1HOC,True
