track,pdb_id,n_residues,padded_tokens,steps,samples,recycles,seed,featurise_s,inference_s,total_s,ranking_score,iptm,ptm,traced
t1_baseline,7RTR,407,512,200,5,10,59547015,3.473,9.965,13.439,0.7666,0.746,0.7939,0
t1_baseline,6ZKZ,408,512,200,5,10,1569811148,3.39,9.978,13.368,0.6481,0.62,0.7117,0
t1_baseline,7DZM,406,512,200,5,10,1852182279,3.354,9.991,13.345,0.648,0.6217,0.6978,0
t1_baseline,7NDQ,408,512,200,5,10,1865453775,3.478,10.006,13.484,0.737,0.7201,0.7494,0
t1_baseline,7R80,409,512,200,5,10,1579026329,3.487,10.016,13.503,0.9064,0.8902,0.9163,0
t1_baseline,7N5P,399,512,200,5,10,484790255,3.167,10.02,13.187,0.8899,0.8742,0.8899,0
t1_baseline,7OW5,415,512,200,5,10,1879879840,3.234,10.039,13.273,0.9124,0.8968,0.9145,0
t1_baseline,7OW6,416,512,200,5,10,93749949,3.231,10.045,13.276,0.9276,0.9137,0.9232,0
t1_baseline,7PBC,404,512,200,5,10,641048660,3.364,10.042,13.406,0.9387,0.926,0.9335,0
t1_baseline,7QPJ,403,512,200,5,10,137640860,3.434,10.043,13.477,0.9344,0.9206,0.9339,0
t1_baseline,7PHR,400,512,200,5,10,1778487064,3.341,10.045,13.386,0.9403,0.9272,0.9364,0
t1_baseline,7NMF,405,512,200,5,10,1652131903,3.438,10.05,13.488,0.8786,0.8619,0.8898,0
t1_baseline,7T2C,406,512,200,5,10,634876895,2.749,10.056,12.805,0.9342,0.8778,0.8953,0
t1_baseline,7Q9A,407,512,200,5,10,408849393,3.337,10.058,13.396,0.8871,0.872,0.886,0
t1_baseline,7Q9B,405,512,200,5,10,1902510481,3.335,10.059,13.394,0.9231,0.9069,0.926,0
t1_baseline,8GON,410,512,200,5,10,770463201,3.505,10.063,13.568,0.5065,0.4779,0.5662,0
t1_baseline,8I5C,405,512,200,5,10,1525643848,3.31,10.061,13.371,0.8616,0.8441,0.876,0
t1_baseline,8WTE,409,512,200,5,10,1554892805,3.384,10.066,13.45,0.6385,0.6091,0.7012,0
t1_baseline,8QFY,405,512,200,5,10,1188110665,3.386,10.065,13.451,0.9287,0.9148,0.9285,0
t1_baseline,8F5A,409,512,200,5,10,87125784,3.459,10.065,13.524,0.7854,0.7628,0.8149,0
t1_baseline,8YE4,408,512,200,5,10,1396966242,3.393,10.065,13.458,0.7082,0.6865,0.7401,0
t1_baseline,8RYM,408,512,200,5,10,1541600031,3.446,10.063,13.509,0.6653,0.6434,0.6979,0
t1_baseline,8RLU,407,512,200,5,10,1370528930,3.363,10.062,13.425,0.8615,0.8445,0.8742,0
t1_baseline,8RLV,407,512,200,5,10,373058556,3.365,10.063,13.429,0.917,0.9029,0.9182,0
t1_baseline,8V50,404,512,200,5,10,1656674983,3.36,10.06,13.419,0.9113,0.8976,0.9103,0
t1_baseline,9EJG,397,512,200,5,10,432510226,2.888,10.056,12.944,0.8828,0.842,0.8697,0
t1_baseline,9J4T,398,512,200,5,10,1539205975,3.294,10.057,13.35,0.6491,0.6221,0.7002,0
t1_baseline,9RXM,401,512,200,5,10,1590829827,3.295,10.061,13.355,0.5924,0.5651,0.6458,0
t1_baseline,24ST,406,512,200,5,10,1480723167,3.468,10.061,13.53,0.9181,0.9035,0.9213,0
t1_baseline,9WC2,404,512,200,5,10,1986367336,3.474,10.058,13.533,0.7609,0.7382,0.7957,0
