a,b,tcr_concat,tcra,tcrb,mhc,peptide,same_allele,pep_mismatches,paired_variant
7RTR,8QFY,91.16279069767442,87.73584905660377,93.57798165137615,71.8232044198895,33.333333333333336,False,6.0,False
6ZKW,6ZKX,100.0,100.0,100.0,99.44134078212291,100.0,True,,False
6ZKW,6ZKY,100.0,100.0,100.0,99.44444444444444,100.0,True,,False
6ZKW,6ZKZ,100.0,100.0,100.0,99.44444444444444,100.0,True,,False
6ZKW,7R80,94.06392694063926,98.14814814814815,90.09009009009009,68.88888888888889,0.0,False,9.0,False
6ZKX,6ZKY,100.0,100.0,100.0,98.88268156424581,100.0,True,,False
6ZKX,6ZKZ,100.0,100.0,100.0,98.88268156424581,100.0,True,,False
6ZKX,7R80,94.06392694063926,98.14814814814815,90.09009009009009,68.15642458100558,0.0,False,,False
6ZKY,6ZKZ,100.0,100.0,100.0,98.88888888888889,100.0,True,0.0,False
6ZKY,7R80,94.06392694063926,98.14814814814815,90.09009009009009,68.88888888888889,12.5,False,,False
6ZKZ,7R80,94.06392694063926,98.14814814814815,90.09009009009009,68.88888888888889,12.5,False,,False
7DZM,7DZN,100.0,100.0,100.0,97.20670391061452,100.0,False,0.0,False
7NDQ,7NDU,100.0,100.0,100.0,99.4475138121547,100.0,True,,False
7SG1,7SG2,100.0,100.0,100.0,100.0,76.92307692307692,True,,False
7N4K,7N5C,99.53051643192488,99.05660377358491,100.0,99.43502824858757,90.0,True,1.0,True
7N4K,7N5P,100.0,100.0,100.0,100.0,90.0,True,1.0,True
7N5C,7N5P,99.53051643192488,99.05660377358491,100.0,100.0,100.0,True,0.0,False
7OW5,7OW6,100.0,100.0,100.0,100.0,90.0,True,1.0,True
7OW5,7PB2,94.66666666666667,91.15044247787611,98.21428571428571,100.0,90.0,True,1.0,True
7OW6,7PB2,94.66666666666667,91.15044247787611,98.21428571428571,100.0,100.0,True,0.0,False
7PBC,7PDW,99.53271028037383,100.0,99.06542056074767,100.0,100.0,True,0.0,False
7PBC,7QPJ,87.38317757009345,98.13084112149532,76.6355140186916,100.0,100.0,True,0.0,False
7PDW,7QPJ,87.38317757009345,98.13084112149532,76.6355140186916,100.0,100.0,True,0.0,False
7NME,7NMF,100.0,100.0,100.0,100.0,100.0,True,0.0,False
7NME,7NMG,100.0,100.0,100.0,100.0,55.55555555555556,True,4.0,False
7NME,8GVI,65.5813953488372,35.51401869158879,95.37037037037037,100.0,25.0,True,,False
7NMF,7NMG,100.0,100.0,100.0,100.0,55.55555555555556,True,4.0,False
7NMF,8GVI,65.5813953488372,35.51401869158879,95.37037037037037,100.0,25.0,True,,False
7NMG,8GVI,65.5813953488372,35.51401869158879,95.37037037037037,100.0,12.5,True,,False
8GVB,8GVG,100.0,100.0,100.0,100.0,87.5,True,1.0,True
