pdb_id,step,sigma,n_samples,ca_rmsd_to_final_mean,ca_rmsd_to_final_sd,ca_rmsd_to_native_mean,ca_rmsd_to_native_sd,ca_rmsd_step_delta_mean
7RTR,1,2485.54,5,2461.6146,13.0151,2461.5963,12.9899,
7RTR,2,2412.94,5,2161.2282,29.2866,2161.2098,29.2452,2612.2913
7RTR,3,2342.16,5,2066.4429,19.4327,2066.4436,19.4241,2447.7308
7RTR,4,2273.18,5,1985.2314,19.5419,1985.2507,19.5546,2375.7204
7RTR,5,2205.94,5,1903.2558,23.9798,1903.3030,23.9731,2276.5410
7RTR,6,2140.41,5,1865.6027,34.2258,1865.5946,34.2020,2183.5241
7RTR,7,2076.56,5,1785.4690,39.6954,1785.5513,39.6916,2112.3050
7RTR,8,2014.35,5,1739.2049,33.3602,1739.1928,33.4078,2097.2891
7RTR,9,1953.74,5,1721.0838,18.3257,1721.1065,18.3491,1985.9473
7RTR,10,1894.71,5,1651.7499,50.8887,1651.7562,50.8949,1957.0392
7RTR,11,1837.2,5,1580.1204,32.0428,1580.1293,32.0303,1871.1982
7RTR,12,1781.21,5,1557.1700,20.8716,1557.1629,20.8356,1817.7437
7RTR,13,1726.68,5,1484.4111,23.2471,1484.4266,23.2422,1783.0951
7RTR,14,1673.58,5,1456.7084,31.2587,1456.6470,31.2801,1713.8902
7RTR,15,1621.9,5,1395.5814,18.5332,1395.5711,18.5252,1646.0899
7RTR,16,1571.58,5,1344.9279,22.8253,1344.9099,22.8208,1598.8736
7RTR,17,1522.62,5,1299.3772,20.5516,1299.3161,20.5685,1544.5681
7RTR,18,1474.96,5,1275.0905,22.1807,1275.1057,22.1692,1503.4766
7RTR,19,1428.59,5,1222.4721,20.2637,1222.5092,20.2750,1469.7399
7RTR,20,1383.47,5,1187.9117,20.5607,1187.9179,20.5441,1391.3422
7RTR,21,1339.59,5,1156.2299,34.6054,1156.2308,34.5676,1352.6357
7RTR,22,1296.9,5,1127.7344,32.8858,1127.7935,32.8613,1340.2014
7RTR,23,1255.38,5,1090.6189,13.2564,1090.6284,13.2709,1292.8193
7RTR,24,1215,5,1056.5347,15.3783,1056.5499,15.3623,1244.6575
7RTR,25,1175.75,5,1011.7451,10.6633,1011.7664,10.6792,1211.1723
7RTR,26,1137.58,5,989.5017,30.7007,989.5296,30.6926,1169.9195
7RTR,27,1100.49,5,932.1156,12.0323,932.1450,12.0600,1133.3988
7RTR,28,1064.43,5,917.6474,11.7456,917.7048,11.7489,1081.7414
7RTR,29,1029.39,5,892.9030,10.5007,892.9169,10.4726,1054.5428
7RTR,30,995.349,5,859.0158,19.0408,859.0127,19.0382,1031.8557
7RTR,31,962.275,5,829.0341,15.5179,829.0567,15.5409,990.7930
7RTR,32,930.147,5,801.5038,13.4779,801.5925,13.4763,945.3117
7RTR,33,898.942,5,781.9354,6.9302,782.0045,6.9555,920.5664
7RTR,34,868.639,5,756.1496,13.2307,756.1755,13.2018,911.7789
7RTR,35,839.216,5,723.7556,9.1591,723.7894,9.1547,865.5615
7RTR,36,810.652,5,710.8013,8.3778,710.8301,8.3628,825.3418
7RTR,37,782.924,5,676.7654,9.4086,676.7730,9.4061,813.1364
7RTR,38,756.014,5,647.2663,11.5712,647.2572,11.6257,778.2000
7RTR,39,729.901,5,639.6999,17.2681,639.7275,17.2406,758.9840
7RTR,40,704.564,5,607.5335,11.4036,607.5873,11.4122,737.9950
7RTR,41,679.985,5,584.4517,4.7242,584.4720,4.7253,698.9359
7RTR,42,656.145,5,560.4821,5.7720,560.4726,5.7274,675.2079
7RTR,43,633.025,5,535.2364,5.8383,535.2746,5.8309,645.0832
7RTR,44,610.606,5,524.3581,2.4716,524.3269,2.4734,623.0670
7RTR,45,588.872,5,506.7760,10.9257,506.8284,10.9595,598.6986
7RTR,46,567.804,5,489.3464,7.3466,489.3566,7.3233,578.5550
7RTR,47,547.386,5,473.7443,3.6839,473.7618,3.6802,568.4337
7RTR,48,527.6,5,448.0548,5.5134,448.0576,5.5460,534.0871
7RTR,49,508.43,5,428.3332,11.9042,428.4376,11.8845,511.8440
7RTR,50,489.861,5,418.4553,9.4020,418.4664,9.3595,499.9023
7RTR,51,471.875,5,403.0899,2.9921,403.1257,2.9500,483.0571
7RTR,52,454.46,5,396.9814,7.4332,397.0122,7.4127,463.4423
7RTR,53,437.597,5,373.6487,10.8989,373.6731,10.8598,443.3872
7RTR,54,421.274,5,363.4913,11.9429,363.4711,11.9585,431.2217
7RTR,55,405.476,5,349.2371,6.5125,349.2562,6.5299,420.3676
7RTR,56,390.188,5,334.4623,4.9549,334.5171,4.9611,400.8650
7RTR,57,375.397,5,321.4134,5.6732,321.4357,5.6805,387.9566
7RTR,58,361.089,5,306.7659,4.9562,306.8115,4.9857,366.5627
7RTR,59,347.251,5,295.6985,7.0097,295.7174,7.0198,356.3638
7RTR,60,333.87,5,280.2593,5.4274,280.2526,5.4349,335.7053
7RTR,61,320.934,5,271.6203,2.7266,271.6444,2.7192,324.4517
7RTR,62,308.43,5,264.8350,4.2447,264.8419,4.2979,315.2996
7RTR,63,296.345,5,253.8415,4.4775,253.8717,4.4870,304.7735
7RTR,64,284.669,5,245.1905,1.8776,245.1924,1.8772,290.0481
7RTR,65,273.389,5,235.5573,4.0119,235.5719,4.0490,280.3458
7RTR,66,262.495,5,221.7401,4.7193,221.6965,4.7475,272.0403
7RTR,67,251.974,5,210.2463,2.7123,210.2438,2.6811,252.6979
7RTR,68,241.818,5,205.5083,2.2591,205.4912,2.2053,242.4252
7RTR,69,232.014,5,194.8995,2.4949,194.9097,2.5710,236.2153
7RTR,70,222.553,5,189.7917,3.8910,189.7925,3.8652,224.8442
7RTR,71,213.425,5,184.8492,4.2137,184.8184,4.2540,219.4176
7RTR,72,204.619,5,173.3571,3.2195,173.4005,3.2058,210.1766
7RTR,73,196.127,5,166.6794,1.8446,166.6893,1.8483,199.0869
7RTR,74,187.938,5,159.4883,3.2922,159.5343,3.2513,190.9122
7RTR,75,180.045,5,153.3364,5.3721,153.3399,5.3555,182.9468
7RTR,76,172.437,5,145.0767,3.0868,145.0637,3.0369,174.7569
7RTR,77,165.106,5,138.9004,3.3023,138.9233,3.3170,167.6103
7RTR,78,158.045,5,133.6416,0.6048,133.7001,0.5841,157.7567
7RTR,79,151.243,5,128.3184,1.1788,128.3444,1.1860,152.5165
7RTR,80,144.695,5,122.9653,2.9677,122.9755,2.9883,148.6799
7RTR,81,138.39,5,115.8217,2.6165,115.8200,2.6123,142.0679
7RTR,82,132.323,5,112.2560,1.8334,112.2860,1.8671,134.2386
7RTR,83,126.485,5,108.6989,2.5114,108.7602,2.5137,131.3002
7RTR,84,120.869,5,103.6380,1.3019,103.6942,1.3155,124.0754
7RTR,85,115.469,5,97.8680,2.2041,97.8994,2.2378,117.7853
7RTR,86,110.276,5,92.9380,1.1280,92.9742,1.1380,112.0275
7RTR,87,105.285,5,87.8963,1.1851,87.9103,1.1634,106.9116
7RTR,88,100.489,5,83.1407,2.1328,83.2077,2.1574,101.9791
7RTR,89,95.8813,5,80.0693,1.0331,80.1259,1.0508,95.7341
7RTR,90,91.4559,5,76.6853,0.8846,76.6954,0.9211,91.8590
7RTR,91,87.2068,5,72.8215,0.4921,72.8036,0.5315,88.3094
7RTR,92,83.1281,5,70.5715,1.5481,70.6433,1.5663,85.0265
7RTR,93,79.2139,5,67.1241,1.1207,67.1633,1.1361,81.3283
7RTR,94,75.4588,5,63.4352,1.4595,63.4935,1.4680,76.9331
7RTR,95,71.8574,5,60.2458,1.0276,60.2297,1.0010,72.2265
7RTR,96,68.4042,5,58.3245,1.2899,58.2978,1.3078,69.3440
7RTR,97,65.0944,5,54.8766,0.2671,54.8986,0.2615,67.6327
7RTR,98,61.9226,5,51.6563,1.1380,51.7203,1.1190,62.7317
7RTR,99,58.8844,5,49.5838,0.6823,49.6238,0.6865,60.0819
7RTR,100,55.9748,5,47.0054,0.5232,47.1096,0.5215,56.8847
7RTR,101,53.1893,5,43.8786,0.7139,43.9683,0.6602,53.6374
7RTR,102,50.5235,5,42.2348,0.4793,42.3518,0.5015,50.5340
7RTR,103,47.9731,5,40.7029,0.6255,40.7778,0.5717,48.2908
7RTR,104,45.5338,5,37.7559,0.5056,37.8276,0.5440,45.6360
7RTR,105,43.2016,5,36.6617,0.6552,36.7167,0.6912,43.5762
7RTR,106,40.9725,5,34.5394,0.7927,34.6087,0.7934,41.7813
7RTR,107,38.8428,5,32.0577,0.6176,32.1884,0.5803,39.4466
7RTR,108,36.8086,5,31.3257,0.1539,31.4272,0.1720,37.5750
7RTR,109,34.8665,5,28.8673,0.1969,28.9412,0.1977,35.2263
7RTR,110,33.0129,5,27.1765,0.3748,27.2623,0.3373,33.0875
7RTR,111,31.2443,5,26.1077,0.5682,26.1920,0.5344,31.5644
7RTR,112,29.5577,5,24.7688,0.1533,24.8383,0.1482,30.0338
7RTR,113,27.9497,5,23.0162,0.5285,23.0739,0.5203,27.9927
7RTR,114,26.4172,5,21.7419,0.1734,21.8610,0.1999,26.1983
7RTR,115,24.9573,5,20.6379,0.2617,20.7419,0.2918,24.7504
7RTR,116,23.5672,5,19.4261,0.1581,19.5272,0.1658,23.8756
7RTR,117,22.2439,5,18.5241,0.5400,18.6330,0.5356,22.2431
7RTR,118,20.9849,5,17.5363,0.2239,17.6499,0.2522,21.1407
7RTR,119,19.7874,5,16.3153,0.1000,16.4601,0.0940,19.7345
7RTR,120,18.649,5,15.4449,0.2069,15.6035,0.2398,18.7763
7RTR,121,17.5672,5,14.2924,0.4545,14.3981,0.4295,17.6619
7RTR,122,16.5396,5,13.6417,0.1615,13.7608,0.2370,16.5824
7RTR,123,15.564,5,12.8327,0.2457,12.9716,0.2643,15.3986
7RTR,124,14.6382,5,11.9955,0.2202,12.2645,0.2442,14.5960
7RTR,125,13.7599,5,11.2652,0.1617,11.5452,0.2411,13.8325
7RTR,126,12.9272,5,10.6748,0.2226,10.9076,0.2725,12.9161
7RTR,127,12.1381,5,10.1615,0.0667,10.3954,0.1172,12.1311
7RTR,128,11.3907,5,9.3221,0.1104,9.5654,0.1247,11.5069
7RTR,129,10.683,5,8.6646,0.2679,8.9019,0.2500,10.6227
7RTR,130,10.0134,5,8.1040,0.1512,8.3650,0.1793,10.0011
7RTR,131,9.38004,5,7.5703,0.1047,7.8891,0.0735,9.2323
7RTR,132,8.78137,5,7.0923,0.1214,7.4990,0.1399,8.5800
