target,mhc_class,closest_ref,closest_mean_id,tcra_id,tcrb_id,pep_id,mhc_id,tcr_concat_closest,max_tcra,max_tcrb,max_tcr_concat,rule2_hits,rule2_violation,rule3_ref,rule3_min_id,rule3_violation,pp_same_pmhc,pp_same_mhc_other_pep,pp_similar_tcr_other_pmhc,best_mhc_id,deposit_date,release_date_rcsb,temporal_violation,tm_best,tm_best_ref,tm_best_nchain,tm_best_map_ok,tm_full,tm_full_ref,tm_violation,rule3_strong,partial_prior,cluster,cluster_size,recommendation,rules_triggered,n_binary_candidates,binary_pep_identity,binary_pep_ref,binary_pmhc_prior
24ST,Class I,6UK2,61.97414824463582,41.28440366972477,91.8181818181818,33.333333333333336,81.46067415730337,66.66666666666667,86.23853211009174,91.8181818181818,67.12328767123287,,False,,,False,False,True,False,97.19101123595506,2026-03-19,2026-07-01,False,0.91466,5EU6,3,False,0.91217,5ISZ,True,False,"binary pMHC, no ternary; same MHC, other peptide",C28,1,Retain in standard benchmark; exclude from strict subset,rule 5 TM 0.91 vs 5ISZ,21,100.0,4U1I,True
28IL,Class I,6VRM,68.95515604363655,89.62264150943396,97.24770642201835,0.0,88.95027624309392,92.62672811059907,92.3076923076923,97.24770642201835,92.62672811059907,concat>=90:6VRM(92.6); Vb>=95:6VRM(97.2),True,7N6E,44.44444444444444,True,False,True,True,100.0,2026-02-02,2026-07-15,False,0.90548,7N1F,3,False,0.89944,5M00,False,False,"binary pMHC, no ternary; similar TCR, other pMHC; same MHC, other peptide",C15,3,Exclude—high TCR redundancy,rule 2 concat>=90:6VRM(92.6); Vb>=95:6VRM(97.2); rule 3 all-chain>40% vs 7N6E (min 44%),29,100.0,7F4W,True
43RH,Class I,4MNQ,45.8514025896144,58.415841584158414,34.25925925925926,22.22222222222222,68.50828729281768,45.93301435406698,58.415841584158414,54.629629629629626,45.93301435406698,,False,,,False,False,False,False,78.45303867403315,2026-07-14,2026-07-29,False,0.90725,4MNQ,4,True,0.90725,4MNQ,True,False,none,C29,1,Retain in standard benchmark; exclude from strict subset,rule 5 TM 0.91 vs 4MNQ,1,11.11111111111111,1K8D,False
6ZKW,Class I,2BNQ,69.33501683501683,89.81481481481481,93.63636363636364,22.22222222222222,71.66666666666667,90.9090909090909,90.74074074074076,94.44444444444444,90.9090909090909,concat>=90:2BNQ(90.9),True,,,False,False,True,True,99.44444444444444,2020-06-30,2022-01-26,False,0.84512,1OGA,3,False,0.8354,3VXS,False,False,"binary pMHC, no ternary; similar TCR, other pMHC; same MHC, other peptide",C03,5,Exclude—high TCR redundancy,rule 2 concat>=90:2BNQ(90.9),11,100.0,6GH1,True
6ZKX,Class I,2BNR,71.93355811372571,89.81481481481481,93.63636363636364,33.333333333333336,70.94972067039106,90.9090909090909,90.74074074074076,94.44444444444444,90.9090909090909,concat>=90:2BNQ(90.9),True,,,False,False,True,True,98.8826815642458,2020-06-30,2022-01-26,False,0.83708,1OGA,4,True,0.83708,1OGA,False,False,"binary pMHC, no ternary; similar TCR, other pMHC; same MHC, other peptide",C03,5,Exclude—high TCR redundancy,rule 2 concat>=90:2BNQ(90.9),11,100.0,6GH1,True
6ZKY,Class I,2BNQ,66.90446127946127,89.81481481481481,93.63636363636364,12.5,71.66666666666667,90.9090909090909,90.74074074074076,94.44444444444444,90.9090909090909,concat>=90:2BNQ(90.9),True,,,False,False,True,True,98.88888888888889,2020-06-30,2022-01-26,False,0.84377,1OGA,3,False,0.83692,3VXS,False,False,"binary pMHC, no ternary; similar TCR, other pMHC; same MHC, other peptide",C03,5,Exclude—high TCR redundancy,rule 2 concat>=90:2BNQ(90.9),11,100.0,6GH1,True
6ZKZ,Class I,2BNQ,66.90446127946127,89.81481481481481,93.63636363636364,12.5,71.66666666666667,90.9090909090909,90.74074074074076,94.44444444444444,90.9090909090909,concat>=90:2BNQ(90.9),True,,,False,False,True,True,98.88888888888889,2020-06-30,2022-01-26,False,0.8508,1OGA,3,False,0.84,3VXS,False,False,"binary pMHC, no ternary; similar TCR, other pMHC; same MHC, other peptide",C03,5,Exclude—high TCR redundancy,rule 2 concat>=90:2BNQ(90.9),11,100.0,6GH1,True
7DZM,Class I,3DXA,59.15592689675258,89.52380952380952,53.211009174311926,11.11111111111111,82.77777777777777,70.04608294930875,89.7196261682243,91.74311926605505,70.83333333333333,,False,,,False,False,True,False,97.19101123595506,2021-01-25,2022-01-26,False,0.88374,5JHD,3,False,0.8695,6MTM,False,False,"binary pMHC, no ternary; same MHC, other peptide",C18,2,Combine with another target as one cluster,,21,100.0,4U1I,True
7DZN,Class I,3DXA,59.83019753610702,89.52380952380952,53.211009174311926,11.11111111111111,85.47486033519553,70.04608294930875,89.7196261682243,91.74311926605505,70.83333333333333,,False,,,False,False,True,False,97.19101123595506,2021-01-25,2022-01-26,False,0.88801,6RSY,3,False,0.8726,6MTM,False,False,"binary pMHC, no ternary; same MHC, other peptide",C18,2,Combine with another target as one cluster,,43,100.0,4U1J,True
7L1D,Class I,4EUP,64.94226959351269,89.42307692307692,33.63636363636363,44.44444444444444,92.26519337016576,59.90783410138249,90.3846153846154,94.44444444444444,71.22641509433963,,False,,,False,False,True,False,96.13259668508287,2020-12-14,2022-03-23,False,0.94186,5NME,4,True,0.94186,5NME,True,False,"same MHC, other peptide",C30,1,Retain in standard benchmark; exclude from strict subset,rule 5 TM 0.94 vs 5NME,19,33.333333333333336,3RL1,False
