Target,Release date,Deposited,Temporal violation,Closest pre-cutoff complex,TCRa identity,TCRb identity,Concat TCR identity,Peptide identity,MHC identity,All chains >40%?,Multimer TM,TM ref,Partial prior,Cluster,Rules triggered,Recommendation
24ST,2026-07-01,2026-03-19,no,6UK2,86.2,91.8,67.1,33.3,97.2,no,0.912,5ISZ,"binary pMHC, no ternary; same MHC, other peptide",C28 (n=1),rule 5 TM 0.91 vs 5ISZ,Retain in standard benchmark; exclude from strict subset
28IL,2026-07-15,2026-02-02,no,6VRM,92.3,97.2,92.6,0.0,100.0,7N6E (44%),0.899,5M00,"binary pMHC, no ternary; similar TCR, other pMHC; same MHC, other peptide",C15 (n=3),rule 2 concat>=90:6VRM(92.6); Vb>=95:6VRM(97.2); rule 3 all-chain>40% vs 7N6E (min 44%),Exclude—high TCR redundancy
43RH,2026-07-29,2026-07-14,no,4MNQ,58.4,54.6,45.9,22.2,78.5,no,0.907,4MNQ,none,C29 (n=1),rule 5 TM 0.91 vs 4MNQ,Retain in standard benchmark; exclude from strict subset
6ZKW,2022-01-26,2020-06-30,no,2BNQ,90.7,94.4,90.9,22.2,99.4,no,0.835,3VXS,"binary pMHC, no ternary; similar TCR, other pMHC; same MHC, other peptide",C03 (n=5),rule 2 concat>=90:2BNQ(90.9),Exclude—high TCR redundancy
6ZKX,2022-01-26,2020-06-30,no,2BNR,90.7,94.4,90.9,33.3,98.9,no,0.837,1OGA,"binary pMHC, no ternary; similar TCR, other pMHC; same MHC, other peptide",C03 (n=5),rule 2 concat>=90:2BNQ(90.9),Exclude—high TCR redundancy
6ZKY,2022-01-26,2020-06-30,no,2BNQ,90.7,94.4,90.9,12.5,98.9,no,0.837,3VXS,"binary pMHC, no ternary; similar TCR, other pMHC; same MHC, other peptide",C03 (n=5),rule 2 concat>=90:2BNQ(90.9),Exclude—high TCR redundancy
6ZKZ,2022-01-26,2020-06-30,no,2BNQ,90.7,94.4,90.9,12.5,98.9,no,0.84,3VXS,"binary pMHC, no ternary; similar TCR, other pMHC; same MHC, other peptide",C03 (n=5),rule 2 concat>=90:2BNQ(90.9),Exclude—high TCR redundancy
7DZM,2022-01-26,2021-01-25,no,3DXA,89.7,91.7,70.8,11.1,97.2,no,0.87,6MTM,"binary pMHC, no ternary; same MHC, other peptide",C18 (n=2),,Combine with another target as one cluster
7DZN,2022-01-26,2021-01-25,no,3DXA,89.7,91.7,70.8,11.1,97.2,no,0.873,6MTM,"binary pMHC, no ternary; same MHC, other peptide",C18 (n=2),,Combine with another target as one cluster
7L1D,2022-03-23,2020-12-14,no,4EUP,90.4,94.4,71.2,44.4,96.1,no,0.942,5NME,"same MHC, other peptide",C30 (n=1),rule 5 TM 0.94 vs 5NME,Retain in standard benchmark; exclude from strict subset
7N2N,2022-12-07,2021-05-29,no,3MV7,92.7,92.8,75.0,11.1,99.4,no,0.876,2YPL,"same MHC, other peptide",C01 (n=11),,Combine with another target as one cluster
7N2O,2022-12-07,2021-05-29,no,5EU6,92.7,92.8,75.0,22.2,99.4,no,0.862,2YPL,"same MHC, other peptide",C01 (n=11),,Combine with another target as one cluster
7N2P,2022-12-07,2021-05-29,no,5EU6,92.5,91.9,74.2,33.3,99.4,no,0.886,3QDM,"same MHC, other peptide",C01 (n=11),,Combine with another target as one cluster
7N2Q,2022-12-07,2021-05-29,no,5EU6,92.5,91.9,74.2,22.2,99.4,no,0.874,3QDM,"same MHC, other peptide",C01 (n=11),,Combine with another target as one cluster
7N2R,2022-12-07,2021-05-29,no,5BRZ,92.5,91.9,74.2,11.1,99.4,no,0.889,3QDM,"same MHC, other peptide",C01 (n=11),,Combine with another target as one cluster
7N2S,2022-12-07,2021-05-29,no,5BRZ,91.8,92.8,75.3,11.1,99.4,no,0.914,6VQO,"same MHC, other peptide",C01 (n=11),rule 5 TM 0.91 vs 6VQO,Retain in standard benchmark; exclude from strict subset
7N4K,2022-07-20,2021-06-04,no,3PQY,100.0,100.0,100.0,100.0,99.4,3PQY (99%),0.926,6L9L,"same/similar pMHC; binary pMHC, no ternary; same MHC, other peptide",C06 (n=3),rule 2 concat>=90:3PQY(100.0); Va>=95:3PQY(100.0); Vb>=95:3PQY(100.0); rule 3 all-chain>40% vs 3PQY (min 99%); rule 5 TM 0.93 vs 6L9L,Exclude—complete-complex similarity
7N5C,2022-07-20,2021-06-05,no,3PQY,99.1,100.0,99.5,90.0,100.0,3PQY (90%),0.92,6L9L,"same/similar pMHC; binary pMHC, no ternary; same MHC, other peptide",C06 (n=3),rule 2 concat>=90:3PQY(99.5); Va>=95:3PQY(99.1); Vb>=95:3PQY(100.0); rule 3 all-chain>40% vs 3PQY (min 90%); rule 5 TM 0.92 vs 6L9L,Exclude—complete-complex similarity
7N5P,2022-07-20,2021-06-06,no,3PQY,100.0,100.0,100.0,90.0,100.0,3PQY (90%),0.932,6L9L,"same/similar pMHC; binary pMHC, no ternary; same MHC, other peptide",C06 (n=3),rule 2 concat>=90:3PQY(100.0); Va>=95:3PQY(100.0); Vb>=95:3PQY(100.0); rule 3 all-chain>40% vs 3PQY (min 90%); rule 5 TM 0.93 vs 6L9L,Exclude—complete-complex similarity
