track,pdb_id,n_residues,padded_tokens,steps,samples,recycles,seed,featurise_s,inference_s,total_s,ranking_score,iptm,ptm,traced
t2_fewsteps,7RTR,407,512,160,5,10,59547015,3.432,8.701,12.133,0.7773,0.7589,0.7957,0
t2_fewsteps,6ZKZ,408,512,160,5,10,1569811148,3.278,8.713,11.991,0.6552,0.6274,0.7171,0
t2_fewsteps,7DZM,406,512,160,5,10,1852182279,3.177,8.723,11.9,0.695,0.6704,0.7382,0
t2_fewsteps,7NDQ,408,512,160,5,10,1865453775,3.369,8.734,12.103,0.8217,0.8023,0.8441,0
t2_fewsteps,7R80,409,512,160,5,10,1579026329,3.301,8.746,12.046,0.9024,0.8859,0.9134,0
t2_fewsteps,7N5P,399,512,160,5,10,484790255,3.096,8.752,11.848,0.8978,0.8822,0.8978,0
t2_fewsteps,7OW5,415,512,160,5,10,1879879840,3.197,8.77,11.967,0.9094,0.8942,0.9099,0
t2_fewsteps,7OW6,416,512,160,5,10,93749949,3.182,8.777,11.959,0.9275,0.9135,0.9234,0
t2_fewsteps,7PBC,404,512,160,5,10,641048660,3.312,8.776,12.088,0.9391,0.9263,0.9344,0
t2_fewsteps,7QPJ,403,512,160,5,10,137640860,3.421,8.778,12.199,0.9373,0.9238,0.9354,0
t2_fewsteps,7PHR,400,512,160,5,10,1778487064,3.283,8.783,12.065,0.942,0.9289,0.9379,0
t2_fewsteps,7NMF,405,512,160,5,10,1652131903,3.414,8.788,12.202,0.893,0.8771,0.9012,0
t2_fewsteps,7T2C,406,512,160,5,10,634876895,2.731,8.794,11.526,0.9304,0.8681,0.8839,0
t2_fewsteps,7Q9A,407,512,160,5,10,408849393,3.292,8.799,12.092,0.89,0.8751,0.8884,0
t2_fewsteps,7Q9B,405,512,160,5,10,1902510481,3.299,8.8,12.098,0.9216,0.9056,0.9236,0
t2_fewsteps,8GON,410,512,160,5,10,770463201,3.469,8.806,12.275,0.5166,0.4908,0.5651,0
t2_fewsteps,8I5C,405,512,160,5,10,1525643848,3.321,8.805,12.126,0.8569,0.8392,0.8722,0
t2_fewsteps,8WTE,409,512,160,5,10,1554892805,3.331,8.81,12.141,0.6413,0.612,0.7035,0
t2_fewsteps,8QFY,405,512,160,5,10,1188110665,3.43,8.808,12.238,0.9329,0.9187,0.9344,0
t2_fewsteps,8F5A,409,512,160,5,10,87125784,3.45,8.814,12.264,0.7822,0.7594,0.8123,0
t2_fewsteps,8YE4,408,512,160,5,10,1396966242,3.371,8.814,12.184,0.72,0.6974,0.7554,0
t2_fewsteps,8RYM,408,512,160,5,10,1541600031,3.412,8.815,12.226,0.6358,0.6103,0.6826,0
t2_fewsteps,8RLU,407,512,160,5,10,1370528930,3.354,8.816,12.17,0.868,0.8517,0.8778,0
t2_fewsteps,8RLV,407,512,160,5,10,373058556,3.354,8.816,12.17,0.9162,0.9019,0.9178,0
t2_fewsteps,8V50,404,512,160,5,10,1656674983,3.435,8.817,12.252,0.9115,0.8979,0.91,0
t2_fewsteps,9EJG,397,512,160,5,10,432510226,2.889,8.815,11.704,0.8927,0.8526,0.8769,0
t2_fewsteps,9J4T,398,512,160,5,10,1539205975,3.248,8.815,12.064,0.6726,0.6466,0.7202,0
t2_fewsteps,9RXM,401,512,160,5,10,1590829827,3.29,8.816,12.106,0.5719,0.5425,0.6335,0
t2_fewsteps,24ST,406,512,160,5,10,1480723167,3.532,8.817,12.349,0.9097,0.8947,0.9143,0
t2_fewsteps,9WC2,404,512,160,5,10,1986367336,3.437,8.817,12.254,0.7503,0.7271,0.7873,0
