target,cluster,cluster_size
7RTR,C21,2
6ZKW,C03,5
6ZKX,C03,5
6ZKY,C03,5
6ZKZ,C03,5
7DZM,C18,2
7DZN,C18,2
7NDQ,C19,2
7NDT,C32,1
7NDU,C19,2
7RM4,C37,1
7SG0,C39,1
7SG1,C22,2
7SG2,C22,2
7L1D,C30,1
7RRG,C38,1
7PBE,C33,1
7SU9,C40,1
7NA5,C31,1
7R80,C03,5
7N4K,C06,3
7N5C,C06,3
7N5P,C06,3
7OW5,C07,3
7OW6,C07,3
7PB2,C07,3
7Z50,C44,1
7RDV,C35,1
7PBC,C08,3
7PDW,C08,3
7QPJ,C08,3
7PHR,C34,1
7NME,C02,6
7NMF,C02,6
7NMG,C02,6
8D5Q,C45,1
8GVB,C02,6
8GVG,C02,6
8GVI,C02,6
7RK7,C36,1
7N2N,C01,11
7N2O,C01,11
7N2P,C01,11
7N2Q,C01,11
7N2R,C01,11
7N2S,C01,11
8CX4,C01,11
7T2B,C41,1
7T2C,C42,1
7T2D,C43,1
7Q99,C20,2
7Q9A,C20,2
7Q9B,C09,3
8GOM,C23,2
8GON,C23,2
8ES8,C46,1
8ES9,C47,1
8SHI,C52,1
8DNT,C09,3
8I5C,C24,2
8I5D,C49,1
8EN8,C10,3
8ENH,C10,3
8EO8,C10,3
8WTE,C25,2
8WUL,C25,2
8QFY,C21,2
8F5A,C48,1
8PJG,C50,1
8VCX,C14,3
8VCY,C14,3
8VD2,C14,3
8YE4,C15,3
8RYM,C12,3
8RYN,C12,3
8RYO,C12,3
8RYP,C01,11
8RYQ,C01,11
8RLT,C11,3
8RLU,C11,3
8RLV,C11,3
8RRO,C51,1
8YIV,C26,2
8YJ2,C26,2
8V4Z,C13,3
8V50,C13,3
8V51,C13,3
8RJ5,C15,3
9EJG,C16,3
9EJH,C16,3
9EJI,C16,3
9GV6,C54,1
9GV7,C55,1
9IKY,C24,2
9HLJ,C56,1
9J4T,C57,1
9J4U,C58,1
9RU5,C17,3
9RUP,C17,3
9RXM,C17,3
9D95,C53,1
9K2R,C60,1
9K2I,C59,1
9WBD,C64,1
9NDS,C09,3
9NMU,C04,5
9NMV,C04,5
9NMW,C04,5
9NMX,C04,5
9NMY,C04,5
9PBG,C01,11
9PBH,C01,11
9YW4,C65,1
9ZCL,C66,1
24ST,C28,1
28IL,C15,3
9WC2,C27,2
9WC3,C27,2
9LLU,C61,1
43RH,C29,1
9NU7,C05,4
9NV2,C05,4
9NV6,C05,4
9NVA,C62,1
9NVE,C05,4
9NW2,C63,1
