track,pdb_id,n_residues,padded_tokens,steps,samples,recycles,seed,featurise_s,inference_s,total_s,ranking_score,iptm,ptm,traced
t3_onesample,7RTR,407,512,200,1,10,59547015,3.431,5.989,9.421,0.7288,0.7085,0.7548,0
t3_onesample,6ZKZ,408,512,200,1,10,1569811148,3.281,5.995,9.276,0.6378,0.609,0.704,0
t3_onesample,7DZM,406,512,200,1,10,1852182279,3.192,5.999,9.19,0.6487,0.6225,0.6983,0
t3_onesample,7NDQ,408,512,200,1,10,1865453775,3.342,6.004,9.346,0.7368,0.72,0.7491,0
t3_onesample,7R80,409,512,200,1,10,1579026329,3.325,6.011,9.336,0.9071,0.8909,0.9168,0
t3_onesample,7N5P,399,512,200,1,10,484790255,3.43,6.009,9.438,0.8684,0.8522,0.8708,0
t3_onesample,7OW5,415,512,200,1,10,1879879840,3.227,6.02,9.247,0.9131,0.8976,0.9151,0
t3_onesample,7OW6,416,512,200,1,10,93749949,3.207,6.024,9.231,0.9275,0.9135,0.9231,0
t3_onesample,7PBC,404,512,200,1,10,641048660,3.329,6.02,9.349,0.9338,0.9209,0.9299,0
t3_onesample,7QPJ,403,512,200,1,10,137640860,3.382,6.021,9.403,0.9258,0.9134,0.9195,0
t3_onesample,7PHR,400,512,200,1,10,1778487064,3.278,6.02,9.298,0.9395,0.9263,0.9361,0
t3_onesample,7NMF,405,512,200,1,10,1652131903,3.369,6.027,9.396,0.8754,0.8586,0.8871,0
t3_onesample,7T2C,406,512,200,1,10,634876895,2.71,6.03,8.739,0.9177,0.8689,0.8854,0
t3_onesample,7Q9A,407,512,200,1,10,408849393,3.328,6.03,9.358,0.8876,0.8725,0.8865,0
t3_onesample,7Q9B,405,512,200,1,10,1902510481,3.295,6.031,9.326,0.9182,0.9024,0.9198,0
t3_onesample,8GON,410,512,200,1,10,770463201,3.483,6.032,9.515,0.5077,0.4789,0.5677,0
t3_onesample,8I5C,405,512,200,1,10,1525643848,3.674,6.029,9.703,0.8615,0.844,0.8759,0
t3_onesample,8WTE,409,512,200,1,10,1554892805,3.294,6.029,9.323,0.6128,0.5821,0.6809,0
t3_onesample,8QFY,405,512,200,1,10,1188110665,3.373,6.031,9.404,0.9194,0.9049,0.9222,0
t3_onesample,8F5A,409,512,200,1,10,87125784,3.435,6.031,9.466,0.7444,0.7195,0.7829,0
t3_onesample,8YE4,408,512,200,1,10,1396966242,3.388,6.031,9.419,0.6916,0.6667,0.7363,0
t3_onesample,8RYM,408,512,200,1,10,1541600031,3.362,6.031,9.392,0.6256,0.6028,0.6617,0
t3_onesample,8RLU,407,512,200,1,10,1370528930,3.355,6.03,9.385,0.8284,0.8103,0.8456,0
t3_onesample,8RLV,407,512,200,1,10,373058556,3.331,6.031,9.362,0.9162,0.9021,0.9175,0
t3_onesample,8V50,404,512,200,1,10,1656674983,3.308,6.034,9.342,0.8952,0.8824,0.8907,0
t3_onesample,9EJG,397,512,200,1,10,432510226,2.863,6.031,8.893,0.8838,0.8431,0.8703,0
t3_onesample,9J4T,398,512,200,1,10,1539205975,3.193,6.031,9.224,0.6287,0.6003,0.6855,0
t3_onesample,9RXM,401,512,200,1,10,1590829827,3.637,6.03,9.667,0.5371,0.5063,0.6043,0
t3_onesample,24ST,406,512,200,1,10,1480723167,3.892,6.03,9.922,0.894,0.8782,0.9016,0
t3_onesample,9WC2,404,512,200,1,10,1986367336,3.413,6.03,9.444,0.7588,0.736,0.7941,0
