track,pdb_id,n_residues,padded_tokens,steps,samples,recycles,seed,featurise_s,inference_s,total_s,ranking_score,iptm,ptm,traced
t4_both,7RTR,407,512,160,1,10,59547015,3.503,5.539,9.041,0.7708,0.7526,0.7879,0
t4_both,6ZKZ,408,512,160,1,10,1569811148,3.306,5.544,8.85,0.6345,0.6056,0.7011,0
t4_both,7DZM,406,512,160,1,10,1852182279,3.203,5.547,8.75,0.6945,0.67,0.7371,0
t4_both,7NDQ,408,512,160,1,10,1865453775,3.384,5.55,8.934,0.7103,0.6899,0.7368,0
t4_both,7R80,409,512,160,1,10,1579026329,3.34,5.554,8.894,0.8944,0.8776,0.9065,0
t4_both,7N5P,399,512,160,1,10,484790255,3.113,5.552,8.665,0.8574,0.84,0.8643,0
t4_both,7OW5,415,512,160,1,10,1879879840,3.245,5.564,8.809,0.9072,0.8918,0.9087,0
t4_both,7OW6,416,512,160,1,10,93749949,3.219,5.566,8.785,0.9266,0.9127,0.9223,0
t4_both,7PBC,404,512,160,1,10,641048660,3.355,5.564,8.919,0.9389,0.9261,0.9343,0
t4_both,7QPJ,403,512,160,1,10,137640860,3.409,5.564,8.974,0.9317,0.918,0.9306,0
t4_both,7PHR,400,512,160,1,10,1778487064,3.294,5.563,8.857,0.939,0.926,0.9349,0
t4_both,7NMF,405,512,160,1,10,1652131903,3.421,5.567,8.988,0.8598,0.8422,0.8746,0
t4_both,7T2C,406,512,160,1,10,634876895,2.732,5.57,8.303,0.9291,0.8731,0.8885,0
t4_both,7Q9A,407,512,160,1,10,408849393,3.319,5.57,8.89,0.8759,0.8604,0.8768,0
t4_both,7Q9B,405,512,160,1,10,1902510481,3.348,5.569,8.917,0.9217,0.9058,0.9237,0
t4_both,8GON,410,512,160,1,10,770463201,3.505,5.575,9.08,0.5164,0.4893,0.5701,0
t4_both,8I5C,405,512,160,1,10,1525643848,3.313,5.575,8.888,0.8572,0.8395,0.8724,0
t4_both,8WTE,409,512,160,1,10,1554892805,3.318,5.576,8.894,0.6133,0.5825,0.6815,0
t4_both,8QFY,405,512,160,1,10,1188110665,3.42,5.574,8.994,0.9275,0.9133,0.929,0
t4_both,8F5A,409,512,160,1,10,87125784,3.454,5.581,9.035,0.7701,0.7466,0.8029,0
t4_both,8YE4,408,512,160,1,10,1396966242,3.379,5.579,8.958,0.7202,0.6974,0.7563,0
t4_both,8RYM,408,512,160,1,10,1541600031,3.407,5.579,8.986,0.636,0.6105,0.6827,0
t4_both,8RLU,407,512,160,1,10,1370528930,3.384,5.58,8.964,0.8325,0.8156,0.8449,0
t4_both,8RLV,407,512,160,1,10,373058556,3.369,5.581,8.95,0.909,0.8945,0.9119,0
t4_both,8V50,404,512,160,1,10,1656674983,3.361,5.579,8.94,0.9028,0.8901,0.8982,0
t4_both,9EJG,397,512,160,1,10,432510226,2.892,5.576,8.468,0.8813,0.84,0.8703,0
t4_both,9J4T,398,512,160,1,10,1539205975,3.268,5.577,8.845,0.615,0.5862,0.6739,0
t4_both,9RXM,401,512,160,1,10,1590829827,3.308,5.579,8.887,0.5419,0.5119,0.6059,0
t4_both,24ST,406,512,160,1,10,1480723167,3.51,5.582,9.092,0.8881,0.872,0.8969,0
t4_both,9WC2,404,512,160,1,10,1986367336,3.461,5.58,9.041,0.7216,0.6969,0.7648,0
