pdb_id,mhc_class,n_residues,resolution,review_status
7RTR,Class I,407,2.6,READY
6ZKZ,Class I,408,2.3,READY
7DZM,Class I,406,2.25,READY
7NDQ,Class I,408,2.55,READY
7R80,Class I,409,2.9,READY
7N5P,Class I,399,2.09,READY
7OW5,Class I,415,2.58,READY
7OW6,Class I,416,2.64,READY
7PBC,Class I,404,2.04,READY
7QPJ,Class I,403,1.54,READY
7PHR,Class I,400,3.08,READY
7NMF,Class I,405,2.98,READY
7T2C,Class II,406,3.1,READY
7Q9A,Class I,407,2.1,READY
7Q9B,Class I,405,3.24,READY
8GON,Class I,410,2.601,READY
8I5C,Class I,405,3.34,READY
8WTE,Class I,409,2.17,READY
8QFY,Class I,405,2.33,READY
8F5A,Class I,409,1.95,READY
8YE4,Class I,408,3.2,READY
8RYM,Class I,408,2.34,READY
8RLU,Class I,407,2.35,READY
8RLV,Class I,407,2.609,READY
8V50,Class I,404,2.6500177696,READY
9EJG,Class II,397,2.2,READY
9J4T,Class I,398,2.04,READY
9RXM,Class I,401,3,READY
24ST,Class I,406,2.7,READY
9WC2,Class I,404,2.25,READY
